Date,CSUSHPISA,IPMAN,M1SL,M1V,REVOLSL,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-06-01,104.43,95.62,1102.60,9.25,639.16,4.00,41.583149,40.56,-0.2773,0.8058
2000-06-08,104.57,95.65,1102.81,9.28,640.97,4.00,40.832027,40.93,0.0260,1.0880
2000-06-15,104.72,95.68,1103.02,9.31,642.78,4.00,40.091328,41.30,0.3265,1.3614
2000-06-22,104.87,95.71,1103.23,9.34,644.60,4.00,39.402802,41.66,0.6129,1.5660
2000-06-29,105.01,95.74,1103.44,9.36,646.41,4.00,39.115768,42.03,0.7904,1.6624
2000-07-06,105.17,95.65,1102.97,9.37,648.39,4.02,40.128914,41.97,0.4983,1.4918
2000-07-13,105.33,95.51,1102.22,9.37,650.45,4.04,40.880955,41.73,0.2300,1.2786
2000-07-20,105.49,95.36,1101.48,9.37,652.50,4.06,40.160244,41.49,0.3607,1.3892
2000-07-27,105.65,95.22,1100.73,9.37,654.55,4.08,39.251545,41.25,0.5424,1.5216
2000-08-03,105.82,95.15,1100.17,9.37,656.41,4.09,41.048058,41.09,0.0106,1.0731
2000-08-10,105.99,95.25,1100.05,9.37,657.76,4.04,41.497189,41.10,-0.1075,0.9600
2000-08-17,106.17,95.35,1099.94,9.37,659.11,4.00,41.852318,41.11,-0.2000,0.8741
2000-08-24,106.34,95.45,1099.83,9.37,660.45,3.95,41.925423,41.13,-0.2161,0.8595
2000-08-31,106.51,95.55,1099.72,9.37,661.80,3.91,42.384998,41.14,-0.3369,0.7558
2000-09-07,106.71,95.52,1099.50,9.41,663.19,3.90,42.614777,41.61,-0.2712,0.8110
2000-09-14,106.90,95.47,1099.27,9.45,664.58,3.90,42.113434,42.16,0.0134,1.0758
2000-09-21,107.10,95.42,1099.03,9.49,665.96,3.90,41.27784,42.71,0.3885,1.4111
2000-09-28,107.30,95.36,1098.80,9.53,667.35,3.90,42.308086,43.26,0.2580,1.3033
2000-10-05,107.50,95.31,1097.89,9.55,668.73,3.90,41.564194,43.39,0.4949,1.4895
2000-10-12,107.71,95.25,1096.46,9.55,670.09,3.90,40.296413,43.21,0.7887,1.6615
2000-10-19,107.91,95.20,1095.04,9.55,671.46,3.90,40.987923,43.02,0.5516,1.5276
2000-10-26,108.12,95.14,1093.62,9.55,672.82,3.90,41.197487,42.84,0.4451,1.4539
2000-11-02,108.33,95.08,1092.27,9.55,674.28,3.90,42.727184,42.65,-0.0199,1.0437
2000-11-09,108.52,94.96,1091.39,9.55,676.30,3.90,42.077591,42.45,0.1010,1.1597
2000-11-16,108.72,94.84,1090.50,9.55,678.32,3.90,41.543224,42.25,0.1907,1.2433
2000-11-23,108.91,94.72,1089.61,9.55,680.34,3.90,40.90411,42.04,0.3088,1.3467
2000-11-30,109.11,94.60,1088.73,9.55,682.36,3.90,40.925045,41.84,0.2481,1.2946
2000-12-07,109.27,94.48,1090.17,9.54,683.44,3.96,41.574654,41.58,0.0021,1.0649
2000-12-14,109.43,94.36,1092.00,9.53,684.37,4.03,40.820278,41.32,0.1341,1.1909
2000-12-21,109.60,94.24,1093.83,9.52,685.30,4.09,41.689133,41.05,-0.1737,0.8981
2000-12-28,109.76,94.11,1095.65,9.51,686.23,4.16,42.721367,40.78,-0.5257,0.6153
2001-01-04,109.91,94.00,1097.14,9.50,687.85,4.20,42.942535,40.58,-0.6401,0.5436
2001-01-11,110.06,93.89,1098.15,9.50,690.38,4.20,43.321732,40.47,-0.7732,0.4718
2001-01-18,110.21,93.79,1099.17,9.50,692.91,4.20,43.648262,40.36,-0.8921,0.4172
2001-01-25,110.36,93.68,1100.18,9.50,695.45,4.20,43.858898,40.24,-0.9796,0.3818
2001-02-01,110.50,93.58,1101.20,9.50,697.98,4.20,44.261684,40.13,-1.1191,0.3327
2001-02-08,110.66,93.53,1103.15,9.50,699.13,4.23,43.850491,40.12,-1.0097,0.3705
2001-02-15,110.81,93.48,1105.10,9.50,700.27,4.25,43.304451,40.12,-0.8638,0.4294
2001-02-22,110.96,93.43,1107.05,9.50,701.42,4.28,41.531559,40.11,-0.3855,0.7170
2001-03-01,111.11,93.38,1109.00,9.50,702.56,4.30,42.030399,40.10,-0.5227,0.6173
2001-03-08,111.23,93.31,1110.74,9.49,703.66,4.32,42.542717,39.93,-0.7092,0.5049
2001-03-15,111.36,93.23,1112.48,9.48,704.77,4.35,39.664299,39.75,0.0232,1.0852
2001-03-22,111.48,93.15,1114.22,9.47,705.87,4.37,39.35775,39.57,0.0586,1.1193
2001-03-29,111.60,93.08,1115.95,9.46,706.97,4.39,40.121368,39.40,-0.1959,0.8778
2001-04-05,111.72,92.95,1116.94,9.46,707.73,4.39,38.959042,39.32,0.0966,1.1555
2001-04-12,111.84,92.80,1117.36,9.46,708.23,4.36,40.803925,39.30,-0.4069,0.7005
2001-04-19,111.96,92.64,1117.78,9.46,708.73,4.34,42.236588,39.29,-0.7987,0.4594
2001-04-26,112.08,92.49,1118.20,9.46,709.23,4.32,43.081314,39.28,-1.0311,0.3627
2001-05-03,112.20,92.34,1119.00,9.46,709.75,4.31,43.013744,39.25,-1.0190,0.3671
2001-05-10,112.35,92.19,1120.74,9.46,710.29,4.36,42.446075,39.21,-0.8776,0.4234
2001-05-17,112.49,92.05,1122.47,9.46,710.84,4.40,44.128792,39.16,-1.3461,0.2682
2001-05-24,112.63,91.91,1124.21,9.46,711.38,4.45,43.42598,39.11,-1.1682,0.3173
2001-05-31,112.78,91.77,1125.95,9.46,711.92,4.49,43.250259,39.07,-1.1330,0.3282
2001-06-07,112.94,91.65,1128.74,9.39,711.18,4.52,43.148903,38.03,-1.3862,0.2585
2001-06-14,113.10,91.53,1131.70,9.30,710.22,4.54,41.371586,36.83,-1.2299,0.2991
2001-06-21,113.26,91.42,1134.67,9.22,709.26,4.57,41.709087,35.63,-1.6467,0.2041
2001-06-28,113.43,91.31,1137.63,9.13,708.30,4.59,41.926117,34.43,-2.0308,0.1454
2001-07-05,113.58,91.21,1140.35,9.10,707.74,4.64,40.89526,33.93,-1.8874,0.1650
2001-07-12,113.73,91.12,1142.87,9.10,707.46,4.71,41.471722,33.95,-2.0376,0.1445
2001-07-19,113.89,91.03,1145.40,9.10,707.19,4.77,41.017323,33.97,-1.9084,0.1619
2001-07-26,114.04,90.94,1147.93,9.10,706.92,4.84,41.119061,34.00,-1.9300,0.1589
2001-08-02,114.19,90.86,1151.89,9.10,706.71,4.90,41.342861,34.11,-1.9591,0.1549
2001-08-09,114.34,90.81,1164.42,9.10,706.84,4.93,40.501896,34.79,-1.5471,0.2232
2001-08-16,114.48,90.77,1176.95,9.10,706.97,4.95,39.477821,35.47,-1.0855,0.3438
2001-08-23,114.63,90.73,1189.49,9.10,707.10,4.97,40.189922,36.15,-1.0943,0.3408
2001-08-30,114.77,90.68,1202.02,9.10,707.23,4.99,38.67754,36.83,-0.5004,0.6325
2001-09-06,114.90,90.58,1198.93,9.10,706.95,5.05,36.826069,36.51,-0.0864,0.9800
2001-09-13,115.01,90.46,1189.60,9.09,706.52,5.12,36.948135,35.78,-0.3158,0.7732
2001-09-20,115.13,90.33,1180.27,9.09,706.09,5.19,32.655159,35.06,0.6510,1.5886
2001-09-27,115.24,90.21,1170.93,9.09,705.66,5.26,35.028843,34.33,-0.1885,0.8845
2001-10-04,115.36,90.12,1166.11,9.09,706.11,5.32,35.652782,33.87,-0.4825,0.6450
2001-10-11,115.49,90.07,1167.31,9.09,707.75,5.36,36.560047,33.76,-0.7580,0.4794
2001-10-18,115.61,90.02,1168.51,9.09,709.38,5.41,35.612827,33.65,-0.5310,0.6117
2001-10-25,115.73,89.98,1169.70,9.09,711.02,5.45,36.546425,33.54,-0.8137,0.4523
2001-11-01,115.86,89.93,1170.90,9.09,712.66,5.50,35.844528,33.43,-0.6532,0.5360
2001-11-08,115.99,89.99,1173.77,9.09,713.17,5.55,36.962124,33.51,-0.9354,0.3992
2001-11-15,116.13,90.04,1176.64,9.09,713.68,5.59,37.405056,33.59,-1.0349,0.3613
2001-11-22,116.27,90.10,1179.51,9.09,714.19,5.64,37.779861,33.66,-1.1159,0.3337
2001-11-29,116.41,90.15,1182.38,9.09,714.70,5.69,37.152916,33.74,-0.9255,0.4032
2001-12-06,116.56,90.26,1184.39,9.08,714.83,5.70,38.113777,33.77,-1.1770,0.3146
2001-12-13,116.72,90.39,1186.06,9.07,714.82,5.70,36.641827,33.79,-0.7740,0.4715
2001-12-20,116.88,90.52,1187.74,9.07,714.80,5.70,37.064327,33.80,-0.8843,0.4205
2001-12-27,117.03,90.65,1189.41,9.06,714.79,5.70,38.041897,33.82,-1.1450,0.3245
2002-01-03,117.19,90.74,1190.60,9.06,714.78,5.70,38.712181,33.82,-1.3243,0.2737
2002-01-10,117.35,90.74,1190.60,9.06,714.79,5.70,37.549446,33.82,-1.0114,0.3699
2002-01-17,117.51,90.74,1190.60,9.06,714.80,5.70,36.886009,33.81,-0.8338,0.4430
2002-01-24,117.67,90.74,1190.60,9.06,714.81,5.70,37.200626,33.80,-0.9212,0.4050
2002-01-31,117.82,90.75,1190.60,9.06,714.82,5.70,36.530346,33.79,-0.7418,0.4877
2002-02-07,118.03,90.91,1191.18,9.06,715.92,5.70,35.689068,33.80,-0.5108,0.6254
2002-02-14,118.24,91.11,1191.85,9.06,717.21,5.70,35.901112,33.82,-0.5643,0.5900
2002-02-21,118.45,91.30,1192.53,9.06,718.49,5.70,35.490719,33.83,-0.4492,0.6688
2002-02-28,118.66,91.49,1193.20,9.06,719.77,5.70,37.104877,33.85,-0.8827,0.4212
2002-03-07,118.87,91.57,1192.06,9.07,720.98,5.74,38.554874,33.98,-1.2409,0.2960
2002-03-14,119.08,91.62,1190.62,9.10,722.17,5.78,38.561703,34.12,-1.2030,0.3069
2002-03-21,119.29,91.67,1189.17,9.12,723.36,5.83,38.116482,34.27,-1.0425,0.3586
2002-03-28,119.49,91.72,1187.73,9.14,724.55,5.87,38.370323,34.42,-1.0715,0.3485
2002-04-04,119.73,91.80,1187.14,9.16,725.54,5.89,37.780315,34.52,-0.8829,0.4211
2002-04-11,119.98,91.92,1187.70,9.16,726.27,5.87,37.272648,34.57,-0.7314,0.4931
2002-04-18,120.24,92.04,1188.26,9.16,727.00,5.84,37.993015,34.62,-0.9127,0.4085
2002-04-25,120.50,92.16,1188.82,9.16,727.74,5.82,36.291618,34.68,-0.4377,0.6773
2002-05-02,120.76,92.29,1189.42,9.16,728.51,5.80,36.751255,34.73,-0.5482,0.6004
2002-05-09,121.01,92.54,1190.28,9.16,729.51,5.80,35.934864,34.78,-0.3125,0.7759
2002-05-16,121.25,92.79,1191.14,9.16,730.52,5.80,37.471607,34.83,-0.7144,0.5021
2002-05-23,121.50,93.04,1192.00,9.16,731.52,5.80,37.032532,34.89,-0.5809,0.5794
2002-05-30,121.74,93.28,1192.85,9.16,732.53,5.80,36.469986,34.94,-0.4140,0.6950
2002-06-06,121.99,93.30,1194.13,9.16,733.39,5.80,35.104759,35.09,-0.0031,1.0599
2002-06-13,122.24,93.21,1195.58,9.18,734.19,5.80,34.281521,35.28,0.2717,1.3152
2002-06-20,122.49,93.13,1197.03,9.19,735.00,5.80,34.164898,35.47,0.3550,1.3846
2002-06-27,122.74,93.05,1198.47,9.20,735.80,5.80,34.164406,35.67,0.4068,1.4252
2002-07-04,122.98,93.03,1198.11,9.21,736.67,5.79,33.985325,35.70,0.4643,1.4679
2002-07-11,123.19,93.08,1195.33,9.21,737.63,5.77,31.595171,35.52,1.0642,1.7747
2002-07-18,123.41,93.12,1192.55,9.21,738.58,5.75,28.929541,35.35,1.7386,1.9377
2002-07-25,123.62,93.17,1189.78,9.21,739.54,5.72,28.44738,35.17,1.8215,1.9510
2002-08-01,123.83,93.22,1187.00,9.21,740.49,5.70,28.833117,34.99,1.6692,1.9257
2002-08-08,124.05,93.25,1189.03,9.21,741.13,5.70,30.382904,35.08,1.2720,1.8383
2002-08-15,124.26,93.28,1191.06,9.21,741.77,5.70,30.98905,35.16,1.1304,1.7967
2002-08-22,124.47,93.31,1193.10,9.21,742.41,5.70,31.395449,35.24,1.0430,1.7673
2002-08-29,124.69,93.34,1195.13,9.21,743.05,5.70,30.747971,35.33,1.2412,1.8298
2002-09-05,124.91,93.31,1197.05,9.20,743.94,5.70,29.96962,35.24,1.4277,1.8770
2002-09-12,125.13,93.23,1198.90,9.18,745.02,5.70,29.63212,35.02,1.4593,1.8841
2002-09-19,125.35,93.15,1200.74,9.17,746.09,5.70,27.930794,34.80,1.8605,1.9569
2002-09-26,125.57,93.08,1202.58,9.15,747.17,5.70,27.54431,34.58,1.9054,1.9634
2002-10-03,125.79,93.05,1204.27,9.14,748.07,5.71,26.499027,34.42,2.1457,1.9944
2002-10-10,126.00,93.15,1205.55,9.14,748.51,5.76,27.350492,34.42,1.9142,1.9647
2002-10-17,126.21,93.25,1206.84,9.14,748.95,5.80,28.935717,34.41,1.4839,1.8894
2002-10-24,126.43,93.36,1208.13,9.14,749.40,5.85,29.89793,34.41,1.2224,1.8245
