Date,IPMAN,M1SL,M1V,REVOLSL,TTLCONS,UMCSENT,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-06-01,95.62,1102.60,9.25,639.16,795411.00,106.40,4.00,41.583149,41.93,0.1006,0.6656
2000-06-08,95.65,1102.81,9.28,640.97,792700.60,106.84,4.00,40.832027,42.46,0.4702,0.8329
2000-06-15,95.68,1103.02,9.31,642.78,789990.20,107.29,4.00,40.091328,42.98,0.8368,0.9899
2000-06-22,95.71,1103.23,9.34,644.60,787279.80,107.73,4.00,39.402802,43.51,1.1883,1.1275
2000-06-29,95.74,1103.44,9.36,646.41,784569.40,108.17,4.00,39.115768,44.04,1.4237,1.2114
2000-07-06,95.65,1102.97,9.37,648.39,787270.16,108.14,4.02,40.128914,43.96,1.1074,1.0970
2000-07-13,95.51,1102.22,9.37,650.45,792135.39,107.91,4.04,40.880955,43.63,0.7964,0.9732
2000-07-20,95.36,1101.48,9.37,652.50,797000.61,107.69,4.06,40.160244,43.31,0.9116,1.0203
2000-07-27,95.22,1100.73,9.37,654.55,801865.84,107.46,4.08,39.251545,42.99,1.0812,1.0870
2000-08-03,95.15,1100.17,9.37,656.41,805920.94,107.27,4.09,41.048058,42.77,0.4971,0.8448
2000-08-10,95.25,1100.05,9.37,657.76,807950.71,107.15,4.04,41.497189,42.79,0.3755,0.7906
2000-08-17,95.35,1099.94,9.37,659.11,809980.48,107.04,4.00,41.852318,42.82,0.2810,0.7480
2000-08-24,95.45,1099.83,9.37,660.45,812010.26,106.93,3.95,41.925423,42.85,0.2682,0.7422
2000-08-31,95.55,1099.72,9.37,661.80,814040.03,106.82,3.91,42.384998,42.88,0.1436,0.6853
2000-09-07,95.52,1099.50,9.41,663.19,814684.00,106.60,3.90,42.614777,43.27,0.1903,0.7067
2000-09-14,95.47,1099.27,9.45,664.58,815097.00,106.37,3.90,42.113434,43.72,0.4660,0.8310
2000-09-21,95.42,1099.03,9.49,665.96,815510.00,106.13,3.90,41.27784,44.18,0.8384,0.9905
2000-09-28,95.36,1098.80,9.53,667.35,815923.00,105.90,3.90,42.308086,44.63,0.6709,0.9203
2000-10-05,95.31,1097.89,9.55,668.73,816610.19,106.03,3.90,41.564194,44.79,0.9329,1.0288
2000-10-12,95.25,1096.46,9.55,670.09,817503.03,106.44,3.90,40.296413,44.73,1.2834,1.1622
2000-10-19,95.20,1095.04,9.55,671.46,818395.87,106.85,3.90,40.987923,44.68,1.0670,1.0816
2000-10-26,95.14,1093.62,9.55,672.82,819288.71,107.25,3.90,41.197487,44.62,0.9901,1.0516
2000-11-02,95.08,1092.27,9.55,674.28,819769.40,107.29,3.90,42.727184,44.50,0.5126,0.8516
2000-11-09,94.96,1091.39,9.55,676.30,817777.20,105.15,3.90,42.077591,43.99,0.5544,0.8700
2000-11-16,94.84,1090.50,9.55,678.32,815785.00,103.00,3.90,41.543224,43.49,0.5628,0.8736
2000-11-23,94.72,1089.61,9.55,680.34,813792.80,100.85,3.90,40.90411,42.98,0.6015,0.8905
2000-11-30,94.60,1088.73,9.55,682.36,811800.60,98.71,3.90,40.925045,42.48,0.4493,0.8236
2000-12-07,94.48,1090.17,9.54,683.44,812089.48,97.68,3.96,41.574654,42.04,0.1353,0.6816
2000-12-14,94.36,1092.00,9.53,684.37,812758.55,96.85,4.03,40.820278,41.62,0.2310,0.7253
2000-12-21,94.24,1093.83,9.52,685.30,813427.61,96.01,4.09,41.689133,41.19,-0.1430,0.5537
2000-12-28,94.11,1095.65,9.51,686.23,814096.68,95.18,4.16,42.721367,40.77,-0.5643,0.3645
2001-01-04,94.00,1097.14,9.50,687.85,814398.48,94.30,4.20,42.942535,40.44,-0.7239,0.2960
2001-01-11,93.89,1098.15,9.50,690.38,814210.61,93.38,4.20,43.321732,40.23,-0.8932,0.2259
2001-01-18,93.79,1099.17,9.50,692.91,814022.74,92.45,4.20,43.648262,40.03,-1.0473,0.1649
2001-01-25,93.68,1100.18,9.50,695.45,813834.87,91.53,4.20,43.858898,39.82,-1.1678,0.1190
2001-02-01,93.58,1101.20,9.50,697.98,813647.00,90.60,4.20,44.261684,39.62,-1.3440,0.0551
2001-02-08,93.53,1103.15,9.50,699.13,817249.50,90.82,4.23,43.850491,39.60,-1.2304,0.0958
2001-02-15,93.48,1105.10,9.50,700.27,820852.00,91.05,4.25,43.304451,39.58,-1.0778,0.1531
2001-02-22,93.43,1107.05,9.50,701.42,824454.50,91.28,4.28,41.531559,39.56,-0.5703,0.3619
