Date,Value,Percent Stock
2008-06-01,9974,30%
2008-07-01,9722,99%
2008-08-01,9911,99%
2008-09-01,9934,99%
2008-10-01,9126,99%
2008-11-01,8097,99%
2008-12-01,7594,99%
2009-01-01,9087,79%
2009-02-01,8380,100%
2009-03-01,7290,100%
2009-04-01,9115,51%
2009-05-01,9528,27%
2009-06-01,9711,3%
2009-07-01,9701,3%
2009-08-01,9720,0%
2009-09-01,9720,0%
2009-10-01,9746,0%
2009-11-01,9772,0%
2009-12-01,9792,0%
2010-01-01,9792,0%
2010-02-01,9798,0%
2010-03-01,9840,5%
2010-04-01,9863,6%
2010-05-01,9885,1%
2010-06-01,9891,71%
2010-07-01,9748,87%
2010-08-01,10509,77%
2010-09-01,10500,82%
2010-10-01,11779,47%
2010-11-01,12040,86%
2010-12-01,12799,73%
2011-01-01,13799,68%
2011-02-01,14173,97%
2011-03-01,14811,82%
2011-04-01,15278,76%
2011-05-01,15744,54%
2011-06-01,15761,88%
2011-07-01,16595,76%
2011-08-01,15642,99%
2011-09-01,14892,99%
2011-10-01,14470,99%
2011-11-01,16304,91%
2011-12-01,16132,100%
2012-01-01,16658,85%
2012-02-01,17642,64%
2012-03-01,18421,51%
2012-04-01,19514,26%
2012-05-01,19781,47%
2012-06-01,19539,78%
2012-07-01,20912,35%
2012-08-01,22666,39%
2012-09-01,23047,39%
2012-10-01,23394,46%
2012-11-01,23292,45%
2012-12-01,24820,47%
2013-01-01,25222,49%
2013-02-01,26522,16%
2013-03-01,26575,25%
2013-04-01,26707,25%
2013-05-01,27173,7%
2013-06-01,27208,7%
2013-07-01,27313,12%
2013-08-01,27566,1%
2013-09-01,27639,1%
2013-10-01,27642,1%
2013-11-01,27690,1%
2013-12-01,27694,1%
2014-01-01,28835,6%
2014-02-01,29530,18%
2014-03-01,30136,13%
2014-04-01,30379,9%
2014-05-01,30470,23%
2014-06-01,30610,1%
2014-07-01,31015,27%
2014-08-01,30898,35%
2014-09-01,32306,17%
2014-10-01,32386,42%
2014-11-01,33730,30%
2014-12-01,33931,31%
2015-01-01,34554,39%
2015-02-01,34669,82%
2015-03-01,37506,66%
2015-04-01,37190,66%
2015-05-01,38803,52%
2015-06-01,39770,26%
2015-07-01,41594,44%
2015-08-01,42726,57%
2015-09-01,41959,92%
2015-10-01,41321,100%
2015-11-01,46451,58%
2015-12-01,47533,82%
2016-01-01,47116,100%
2016-02-01,45006,100%
2016-03-01,46774,100%
2016-04-01,48352,84%
2016-05-01,50203,41%
2016-06-01,51016,79%
2016-07-01,54271,68%
2016-08-01,57003,41%
2016-09-01,57212,41%
2016-10-01,57067,87%
2016-11-01,57182,74%
2016-12-01,61338,32%
2017-01-01,61811,0%
2017-02-01,62993,25%
2017-03-01,63555,0%
2017-04-01,64736,17%
2017-05-01,66154,10%
2017-06-01,67374,31%
2017-07-01,70074,27%
2017-08-01,72606,26%
2017-09-01,76458,60%
2017-10-01,78560,29%
2017-11-01,83088,37%
2017-12-01,84743,15%
2018-01-01,85243,0%
2018-02-01,85246,0%
2018-03-01,88101,9%
2018-04-01,91095,56%
2018-05-01,97342,41%
2018-06-01,97833,41%
2018-07-01,104382,38%
2018-08-01,107262,16%
