Date,CPIAUCSL,UMCSENT,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-06-01,172.20,106.40,4.00,41.583149,40.66,-0.2318,0.7467
2000-06-08,172.32,106.84,4.00,40.832027,40.96,0.0313,0.9141
2000-06-15,172.43,107.29,4.00,40.091328,41.26,0.2918,1.0783
2000-06-22,172.55,107.73,4.00,39.402802,41.56,0.5393,1.2223
2000-06-29,172.67,108.17,4.00,39.115768,41.86,0.6862,1.2995
2000-07-06,172.70,108.14,4.02,40.128914,41.80,0.4181,1.1538
2000-07-13,172.70,107.91,4.04,40.880955,41.60,0.1797,1.0086
2000-07-20,172.70,107.69,4.06,40.160244,41.40,0.3100,1.0894
2000-07-27,172.70,107.46,4.08,39.251545,41.20,0.4875,1.1935
2000-08-03,172.76,107.27,4.09,41.048058,41.15,0.0254,0.9103
2000-08-10,172.96,107.15,4.04,41.497189,41.48,-0.0043,0.8913
2000-08-17,173.16,107.04,4.00,41.852318,41.81,-0.0104,0.8873
2000-08-24,173.37,106.93,3.95,41.925423,42.14,0.0540,0.9287
2000-08-31,173.57,106.82,3.91,42.384998,42.47,0.0217,0.9080
2000-09-07,173.66,106.60,3.90,42.614777,42.48,-0.0328,0.8729
2000-09-14,173.73,106.37,3.90,42.113434,42.44,0.0824,0.9468
2000-09-21,173.80,106.13,3.90,41.27784,42.40,0.2813,1.0719
2000-09-28,173.87,105.90,3.90,42.308086,42.36,0.0130,0.9024
2000-10-05,173.94,106.03,3.90,41.564194,42.48,0.2292,1.0397
2000-10-12,174.01,106.44,3.90,40.296413,42.72,0.6068,1.2586
2000-10-19,174.07,106.85,3.90,40.987923,42.96,0.4937,1.1970
2000-10-26,174.14,107.25,3.90,41.197487,43.20,0.5013,1.2013
2000-11-02,174.21,107.29,3.90,42.727184,43.28,0.1387,0.9827
2000-11-09,174.31,105.15,3.90,42.077591,42.41,0.0842,0.9480
2000-11-16,174.40,103.00,3.90,41.543224,41.55,0.0008,0.8945
2000-11-23,174.49,100.85,3.90,40.90411,40.68,-0.0563,0.8579
2000-11-30,174.59,98.71,3.90,40.925045,39.81,-0.2787,0.7177
2000-12-07,174.79,97.68,3.96,41.574654,39.29,-0.5734,0.5472
2000-12-14,175.02,96.85,4.03,40.820278,38.82,-0.5022,0.5863
2000-12-21,175.25,96.01,4.09,41.689133,38.34,-0.8375,0.4161
2000-12-28,175.47,95.18,4.16,42.721367,37.87,-1.2138,0.2666
2001-01-04,175.64,94.30,4.20,42.942535,37.46,-1.3719,0.2154
2001-01-11,175.73,93.38,4.20,43.321732,37.14,-1.5494,0.1648
2001-01-18,175.82,92.45,4.20,43.648262,36.81,-1.7137,0.1237
2001-01-25,175.91,91.53,4.20,43.858898,36.48,-1.8490,0.0934
2001-02-01,176.00,90.60,4.20,44.261684,36.15,-2.0324,0.0568
2001-02-08,176.03,90.82,4.23,43.850491,36.16,-1.9268,0.0773
2001-02-15,176.05,91.05,4.25,43.304451,36.17,-1.7873,0.1069
2001-02-22,176.08,91.28,4.28,41.531559,36.18,-1.3406,0.2250
2001-03-01,176.10,91.50,4.30,42.030399,36.19,-1.4628,0.1886
2001-03-08,176.17,90.80,4.32,42.542717,35.84,-1.6788,0.1320
2001-03-15,176.24,90.10,4.35,39.664299,35.49,-1.0455,0.3283
2001-03-22,176.30,89.40,4.37,39.35775,35.14,-1.0564,0.3241
2001-03-29,176.37,88.70,4.39,40.121368,34.79,-1.3352,0.2267
2001-04-05,176.52,88.88,4.39,38.959042,35.02,-0.9871,0.3516
2001-04-12,176.73,89.72,4.36,40.803925,35.68,-1.2835,0.2432
2001-04-19,176.94,90.56,4.34,42.236588,36.34,-1.4766,0.1847
2001-04-26,177.15,91.40,4.32,43.081314,37.00,-1.5226,0.1720
2001-05-03,177.33,92.04,4.31,43.013744,37.46,-1.3917,0.2094
2001-05-10,177.42,92.17,4.36,42.446075,37.40,-1.2646,0.2494
2001-05-17,177.51,92.31,4.40,44.128792,37.34,-1.7012,0.1267
2001-05-24,177.60,92.45,4.45,43.42598,37.28,-1.5403,0.1673
2001-05-31,177.69,92.58,4.49,43.250259,37.22,-1.5114,0.1751
2001-06-07,177.64,92.56,4.52,43.148903,37.05,-1.5281,0.1705
2001-06-14,177.57,92.51,4.54,41.371586,36.86,-1.1297,0.2964
2001-06-21,177.50,92.47,4.57,41.709087,36.67,-1.2608,0.2507
2001-06-28,177.43,92.42,4.59,41.926117,36.49,-1.3618,0.2185
2001-07-05,177.40,92.28,4.64,40.89526,36.19,-1.1795,0.2785
2001-07-12,177.40,92.08,4.71,41.471722,35.80,-1.4217,0.2005
2001-07-19,177.40,91.88,4.77,41.017323,35.40,-1.4057,0.2052
2001-07-26,177.40,91.67,4.84,41.119061,35.01,-1.5290,0.1703
2001-08-02,177.42,91.19,4.90,41.342861,34.55,-1.7021,0.1264
2001-08-09,177.58,89.00,4.93,40.501896,33.62,-1.7242,0.1212
2001-08-16,177.74,86.81,4.95,39.477821,32.69,-1.7005,0.1268
2001-08-23,177.90,84.62,4.97,40.189922,31.76,-2.1116,0.0424
2001-08-30,178.05,82.43,4.99,38.67754,30.83,-1.9656,0.0696
2001-09-06,178.02,81.95,5.05,36.826069,30.33,-1.6258,0.1451
2001-09-13,177.90,82.16,5.12,36.948135,30.01,-1.7368,0.1183
2001-09-20,177.78,82.37,5.19,32.655159,29.69,-0.7420,0.4609
2001-09-27,177.67,82.58,5.26,35.028843,29.37,-1.4169,0.2019
2001-10-04,177.59,82.82,5.32,35.652782,29.14,-1.6299,0.1440
2001-10-11,177.57,83.09,5.36,36.560047,29.04,-1.8823,0.0864
2001-10-18,177.55,83.36,5.41,35.612827,28.94,-1.6703,0.1341
2001-10-25,177.52,83.63,5.45,36.546425,28.84,-1.9293,0.0768
2001-11-01,177.50,83.90,5.50,35.844528,28.74,-1.7786,0.1088
2001-11-08,177.48,85.04,5.55,36.962124,29.02,-1.9889,0.0650
2001-11-15,177.45,86.19,5.59,37.405056,29.30,-2.0301,0.0572
2001-11-22,177.43,87.33,5.64,37.779861,29.58,-2.0543,0.0527
2001-11-29,177.41,88.47,5.69,37.152916,29.86,-1.8277,0.0980
2001-12-06,177.45,89.48,5.70,38.113777,30.28,-1.9626,0.0702
2001-12-13,177.52,90.43,5.70,36.641827,30.76,-1.4738,0.1855
2001-12-20,177.58,91.37,5.70,37.064327,31.24,-1.4595,0.1896
2001-12-27,177.65,92.32,5.70,38.041897,31.72,-1.5842,0.1557
2002-01-03,177.72,92.85,5.70,38.712181,32.01,-1.6784,0.1321
2002-01-10,177.79,92.33,5.70,37.549446,31.84,-1.4297,0.1982
2002-01-17,177.85,91.81,5.70,36.886009,31.67,-1.3061,0.2359
2002-01-24,177.92,91.29,5.70,37.200626,31.50,-1.4274,0.1988
2002-01-31,177.99,90.77,5.70,36.530346,31.33,-1.3020,0.2372
2002-02-07,178.11,91.77,5.70,35.689068,31.88,-0.9549,0.3649
2002-02-14,178.23,93.02,5.70,35.901112,32.54,-0.8417,0.4142
2002-02-21,178.36,94.27,5.70,35.490719,33.20,-0.5727,0.5476
2002-02-28,178.48,95.52,5.70,37.104877,33.87,-0.8107,0.4284
2002-03-07,178.65,95.18,5.74,38.554874,33.70,-1.2166,0.2656
2002-03-14,178.84,94.57,5.78,38.561703,33.39,-1.2960,0.2392
2002-03-21,179.02,93.96,5.83,38.116482,33.08,-1.2622,0.2502
2002-03-28,179.20,93.35,5.87,38.370323,32.77,-1.4034,0.2059
2002-04-04,179.32,93.39,5.89,37.780315,32.82,-1.2412,0.2572
2002-04-11,179.37,94.30,5.87,37.272648,33.37,-0.9769,0.3558
2002-04-18,179.41,95.21,5.84,37.993015,33.92,-1.0202,0.3383
2002-04-25,179.46,96.12,5.82,36.291618,34.47,-0.4570,0.6118
2002-05-02,179.50,96.75,5.80,36.751255,34.87,-0.4699,0.6044
2002-05-09,179.53,95.74,5.80,35.934864,34.45,-0.3731,0.6607
