Date,CPIAUCSL,INDPRO,M1SL,M1V,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-06-01,172.20,95.74,1102.60,9.25,4.00,41.583149,37.74,-0.9835,0.2911
2000-06-08,172.32,95.70,1102.81,9.28,4.00,40.832027,37.93,-0.7427,0.3471
2000-06-15,172.43,95.67,1103.02,9.31,4.00,40.091328,38.12,-0.5046,0.4134
2000-06-22,172.55,95.64,1103.23,9.34,4.00,39.402802,38.31,-0.2798,0.4852
2000-06-29,172.67,95.61,1103.44,9.36,4.00,39.115768,38.50,-0.1577,0.5271
2000-07-06,172.70,95.55,1102.97,9.37,4.02,40.128914,38.48,-0.4223,0.4387
2000-07-13,172.70,95.49,1102.22,9.37,4.04,40.880955,38.37,-0.6419,0.3739
2000-07-20,172.70,95.43,1101.48,9.37,4.06,40.160244,38.26,-0.4848,0.4194
2000-07-27,172.70,95.36,1100.73,9.37,4.08,39.251545,38.16,-0.2796,0.4853
2000-08-03,172.76,95.34,1100.17,9.37,4.09,41.048058,38.10,-0.7540,0.3443
2000-08-10,172.96,95.42,1100.05,9.37,4.04,41.497189,38.16,-0.8529,0.3202
2000-08-17,173.16,95.51,1099.94,9.37,4.00,41.852318,38.22,-0.9278,0.3031
2000-08-24,173.37,95.59,1099.83,9.37,3.95,41.925423,38.29,-0.9307,0.3025
2000-08-31,173.57,95.67,1099.72,9.37,3.91,42.384998,38.35,-1.0323,0.2810
2000-09-07,173.66,95.63,1099.50,9.41,3.90,42.614777,38.58,-1.0312,0.2813
2000-09-14,173.73,95.56,1099.27,9.45,3.90,42.113434,38.85,-0.8358,0.3242
2000-09-21,173.80,95.49,1099.03,9.49,3.90,41.27784,39.11,-0.5549,0.3985
2000-09-28,173.87,95.43,1098.80,9.53,3.90,42.308086,39.37,-0.7512,0.3450
2000-10-05,173.94,95.40,1097.89,9.55,3.90,41.564194,39.44,-0.5430,0.4020
2000-10-12,174.01,95.40,1096.46,9.55,3.90,40.296413,39.37,-0.2379,0.4995
2000-10-19,174.07,95.41,1095.04,9.55,3.90,40.987923,39.29,-0.4337,0.4352
2000-10-26,174.14,95.41,1093.62,9.55,3.90,41.197487,39.22,-0.5064,0.4129
2000-11-02,174.21,95.41,1092.27,9.55,3.90,42.727184,39.14,-0.9177,0.3054
2000-11-09,174.31,95.35,1091.39,9.55,3.90,42.077591,39.03,-0.7787,0.3381
2000-11-16,174.40,95.29,1090.50,9.55,3.90,41.543224,38.93,-0.6692,0.3664
2000-11-23,174.49,95.23,1089.61,9.55,3.90,40.90411,38.82,-0.5329,0.4050
2000-11-30,174.59,95.17,1088.73,9.55,3.90,40.925045,38.71,-0.5654,0.3955
2000-12-07,174.79,95.04,1090.17,9.54,3.96,41.574654,38.49,-0.7886,0.3356
2000-12-14,175.02,94.91,1092.00,9.53,4.03,40.820278,38.25,-0.6577,0.3695
2000-12-21,175.25,94.77,1093.83,9.52,4.09,41.689133,38.01,-0.9420,0.3000
2000-12-28,175.47,94.63,1095.65,9.51,4.16,42.721367,37.76,-1.2680,0.2377
2001-01-04,175.64,94.49,1097.14,9.50,4.20,42.942535,37.59,-1.3685,0.2217
2001-01-11,175.73,94.36,1098.15,9.50,4.20,43.321732,37.51,-1.4851,0.2048
2001-01-18,175.82,94.24,1099.17,9.50,4.20,43.648262,37.44,-1.5883,0.1910
2001-01-25,175.91,94.11,1100.18,9.50,4.20,43.858898,37.36,-1.6618,0.1819
2001-02-01,176.00,93.98,1101.20,9.50,4.20,44.261684,37.28,-1.7845,0.1679
2001-02-08,176.03,93.91,1103.15,9.50,4.23,43.850491,37.29,-1.6785,0.1800
2001-02-15,176.05,93.85,1105.10,9.50,4.25,43.304451,37.29,-1.5379,0.1976
2001-02-22,176.08,93.79,1107.05,9.50,4.28,41.531559,37.29,-1.0836,0.2709
2001-03-01,176.10,93.73,1109.00,9.50,4.30,42.030399,37.30,-1.2103,0.2476
2001-03-08,176.17,93.66,1110.74,9.49,4.32,42.542717,37.21,-1.3647,0.2223
2001-03-15,176.24,93.60,1112.48,9.48,4.35,39.664299,37.11,-0.6520,0.3711
2001-03-22,176.30,93.54,1114.22,9.47,4.37,39.35775,37.02,-0.5971,0.3864
2001-03-29,176.37,93.48,1115.95,9.46,4.39,40.121368,36.93,-0.8157,0.3290
2001-04-05,176.52,93.38,1116.94,9.46,4.39,38.959042,36.83,-0.5443,0.4016
2001-04-12,176.73,93.25,1117.36,9.46,4.36,40.803925,36.72,-1.0437,0.2787
2001-04-19,176.94,93.11,1117.78,9.46,4.34,42.236588,36.61,-1.4376,0.2115
2001-04-26,177.15,92.98,1118.20,9.46,4.32,43.081314,36.51,-1.6812,0.1796
2001-05-03,177.33,92.85,1119.00,9.46,4.31,43.013744,36.40,-1.6903,0.1786
2001-05-10,177.42,92.72,1120.74,9.46,4.36,42.446075,36.31,-1.5684,0.1936
2001-05-17,177.51,92.60,1122.47,9.46,4.40,44.128792,36.22,-2.0219,0.1442
2001-05-24,177.60,92.47,1124.21,9.46,4.45,43.42598,36.13,-1.8655,0.1593
2001-05-31,177.69,92.35,1125.95,9.46,4.49,43.250259,36.04,-1.8438,0.1616
2001-06-07,177.64,92.23,1128.74,9.39,4.52,43.148903,35.45,-1.9680,0.1492
2001-06-14,177.57,92.11,1131.70,9.30,4.54,41.371586,34.78,-1.6848,0.1792
2001-06-21,177.50,91.98,1134.67,9.22,4.57,41.709087,34.11,-1.9424,0.1517
2001-06-28,177.43,91.86,1137.63,9.13,4.59,41.926117,33.44,-2.1692,0.1314
2001-07-05,177.40,91.79,1140.35,9.10,4.64,40.89526,33.16,-1.9769,0.1484
2001-07-12,177.40,91.77,1142.87,9.10,4.71,41.471722,33.18,-2.1206,0.1355
2001-07-19,177.40,91.74,1145.40,9.10,4.77,41.017323,33.19,-2.0008,0.1461
2001-07-26,177.40,91.71,1147.93,9.10,4.84,41.119061,33.21,-2.0231,0.1441
2001-08-02,177.42,91.67,1151.89,9.10,4.90,41.342861,33.28,-2.0616,0.1406
2001-08-09,177.58,91.59,1164.42,9.10,4.93,40.501896,33.71,-1.7379,0.1731
2001-08-16,177.74,91.52,1176.95,9.10,4.95,39.477821,34.13,-1.3674,0.2219
2001-08-23,177.90,91.44,1189.49,9.10,4.97,40.189922,34.56,-1.4408,0.2110
2001-08-30,178.05,91.36,1202.02,9.10,4.99,38.67754,34.98,-0.9454,0.2993
2001-09-06,178.02,91.27,1198.93,9.10,5.05,36.826069,34.71,-0.5414,0.4025
2001-09-13,177.90,91.18,1189.60,9.09,5.12,36.948135,34.16,-0.7133,0.3547
2001-09-20,177.78,91.08,1180.27,9.09,5.19,32.655159,33.61,0.2438,0.6682
2001-09-27,177.67,90.99,1170.93,9.09,5.26,35.028843,33.06,-0.5039,0.4136
2001-10-04,177.59,90.90,1166.11,9.09,5.32,35.652782,32.71,-0.7517,0.3449
2001-10-11,177.57,90.79,1167.31,9.09,5.36,36.560047,32.64,-1.0019,0.2873
2001-10-18,177.55,90.69,1168.51,9.09,5.41,35.612827,32.57,-0.7780,0.3383
2001-10-25,177.52,90.59,1169.70,9.09,5.45,36.546425,32.50,-1.0350,0.2805
2001-11-01,177.50,90.49,1170.90,9.09,5.50,35.844528,32.43,-0.8738,0.3153
2001-11-08,177.48,90.49,1173.77,9.09,5.55,36.962124,32.51,-1.1378,0.2606
2001-11-15,177.45,90.50,1176.64,9.09,5.59,37.405056,32.60,-1.2294,0.2443
2001-11-22,177.43,90.51,1179.51,9.09,5.64,37.779861,32.68,-1.3035,0.2319
2001-11-29,177.41,90.51,1182.38,9.09,5.69,37.152916,32.77,-1.1214,0.2636
2001-12-06,177.45,90.61,1184.39,9.08,5.70,38.113777,32.86,-1.3427,0.2257
2001-12-13,177.52,90.74,1186.06,9.07,5.70,36.641827,32.96,-0.9407,0.3003
2001-12-20,177.58,90.87,1187.74,9.07,5.70,37.064327,33.06,-1.0232,0.2829
2001-12-27,177.65,91.00,1189.41,9.06,5.70,38.041897,33.16,-1.2476,0.2412
2002-01-03,177.72,91.09,1190.60,9.06,5.70,38.712181,33.23,-1.4022,0.2167
2002-01-10,177.79,91.08,1190.60,9.06,5.70,37.549446,33.21,-1.1096,0.2659
2002-01-17,177.85,91.08,1190.60,9.06,5.70,36.886009,33.19,-0.9447,0.2994
2002-01-24,177.92,91.07,1190.60,9.06,5.70,37.200626,33.17,-1.0300,0.2815
2002-01-31,177.99,91.07,1190.60,9.06,5.70,36.530346,33.15,-0.8634,0.3177
2002-02-07,178.11,91.23,1191.18,9.06,5.70,35.689068,33.27,-0.6177,0.3806
2002-02-14,178.23,91.41,1191.85,9.06,5.70,35.901112,33.42,-0.6355,0.3756
2002-02-21,178.36,91.59,1192.53,9.06,5.70,35.490719,33.56,-0.4941,0.4166
2002-02-28,178.48,91.78,1193.20,9.06,5.70,37.104877,33.70,-0.8704,0.3161
2002-03-07,178.65,91.87,1192.06,9.07,5.74,38.554874,33.81,-1.2139,0.2469
2002-03-14,178.84,91.96,1190.62,9.10,5.78,38.561703,33.91,-1.1899,0.2512
2002-03-21,179.02,92.05,1189.17,9.12,5.83,38.116482,34.01,-1.0503,0.2774
2002-03-28,179.20,92.13,1187.73,9.14,5.87,38.370323,34.11,-1.0894,0.2697
