Date,CE16OV,IPMAN,M1SL,M1V,RSAFS,UMCSENT,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-06-01,136940.00,95.62,1102.60,9.25,273422.00,106.40,4.00,41.583149,37.86,-1.1138,-0.1815
2000-06-08,136844.57,95.65,1102.81,9.28,273237.20,106.84,4.00,40.832027,38.66,-0.6495,-0.0146
2000-06-15,136749.13,95.68,1103.02,9.31,273052.40,107.29,4.00,40.091328,39.46,-0.1883,0.2419
2000-06-22,136653.70,95.71,1103.23,9.34,272867.60,107.73,4.00,39.402802,40.26,0.2574,0.5353
2000-06-29,136558.27,95.74,1103.44,9.36,272682.80,108.17,4.00,39.115768,41.07,0.5830,0.7168
2000-07-06,136552.13,95.65,1102.97,9.37,272676.45,108.14,4.02,40.128914,41.11,0.2921,0.5568
2000-07-13,136581.71,95.51,1102.22,9.37,272741.48,107.91,4.04,40.880955,40.84,-0.0119,0.3587
2000-07-20,136611.29,95.36,1101.48,9.37,272806.52,107.69,4.06,40.160244,40.58,0.1243,0.4496
2000-07-27,136640.87,95.22,1100.73,9.37,272871.55,107.46,4.08,39.251545,40.31,0.3166,0.5716
2000-08-03,136676.90,95.15,1100.17,9.37,273216.71,107.27,4.09,41.048058,40.17,-0.2611,0.1957
2000-08-10,136729.06,95.25,1100.05,9.37,274262.19,107.15,4.04,41.497189,40.36,-0.3398,0.1478
2000-08-17,136781.23,95.35,1099.94,9.37,275307.68,107.04,4.00,41.852318,40.55,-0.3904,0.1183
2000-08-24,136833.39,95.45,1099.83,9.37,276353.16,106.93,3.95,41.925423,40.73,-0.3568,0.1378
2000-08-31,136885.55,95.55,1099.72,9.37,277398.65,106.82,3.91,42.384998,40.92,-0.4386,0.0913
2000-09-07,136932.00,95.52,1099.50,9.41,277423.80,106.60,3.90,42.614777,41.33,-0.3830,0.1226
2000-09-14,136977.50,95.47,1099.27,9.45,277278.90,106.37,3.90,42.113434,41.79,-0.0973,0.3016
2000-09-21,137023.00,95.42,1099.03,9.49,277134.00,106.13,3.90,41.27784,42.24,0.2882,0.5544
2000-09-28,137068.50,95.36,1098.80,9.53,276989.10,105.90,3.90,42.308086,42.70,0.1161,0.4442
2000-10-05,137118.19,95.31,1097.89,9.55,276811.13,106.03,3.90,41.564194,42.76,0.3583,0.5964
2000-10-12,137171.03,95.25,1096.46,9.55,276608.35,106.44,3.90,40.296413,42.54,0.6701,0.7572
2000-10-19,137223.87,95.20,1095.04,9.55,276405.58,106.85,3.90,40.987923,42.31,0.3963,0.6184
2000-10-26,137276.71,95.14,1093.62,9.55,276202.81,107.25,3.90,41.197487,42.09,0.2666,0.5410
2000-11-02,137331.73,95.08,1092.27,9.55,276021.07,107.29,3.90,42.727184,41.81,-0.2739,0.1878
2000-11-09,137399.87,94.96,1091.39,9.55,275965.53,105.15,3.90,42.077591,41.21,-0.2602,0.1962
2000-11-16,137468.00,94.84,1090.50,9.55,275910.00,103.00,3.90,41.543224,40.60,-0.2811,0.1833
2000-11-23,137536.13,94.72,1089.61,9.55,275854.47,100.85,3.90,40.90411,40.00,-0.2706,0.1898
2000-11-30,137604.27,94.60,1088.73,9.55,275798.93,98.71,3.90,40.925045,39.39,-0.4574,0.0810
2000-12-07,137645.74,94.48,1090.17,9.54,276379.97,97.68,3.96,41.574654,38.89,-0.8014,-0.0784
2000-12-14,137682.77,94.36,1092.00,9.53,277067.10,96.85,4.03,40.820278,38.41,-0.7207,-0.0458
2000-12-21,137719.81,94.24,1093.83,9.52,277754.23,96.01,4.09,41.689133,37.92,-1.1250,-0.1846
2000-12-28,137756.84,94.11,1095.65,9.51,278441.35,95.18,4.16,42.721367,37.44,-1.5783,-0.2845
2001-01-04,137761.94,94.00,1097.14,9.50,278828.10,94.30,4.20,42.942535,37.17,-1.7240,-0.3084
2001-01-11,137724.45,93.89,1098.15,9.50,278814.32,93.38,4.20,43.321732,37.20,-1.8303,-0.3239
2001-01-18,137686.97,93.79,1099.17,9.50,278800.55,92.45,4.20,43.648262,37.22,-1.9209,-0.3361
2001-01-25,137649.48,93.68,1100.18,9.50,278786.77,91.53,4.20,43.858898,37.24,-1.9768,-0.3431
2001-02-01,137612.00,93.58,1101.20,9.50,278773.00,90.60,4.20,44.261684,37.27,-2.0901,-0.3565
2001-02-08,137654.75,93.53,1103.15,9.50,278192.25,90.82,4.23,43.850491,37.08,-2.0225,-0.3486
2001-02-15,137697.50,93.48,1105.10,9.50,277611.50,91.05,4.25,43.304451,36.90,-1.9146,-0.3353
2001-02-22,137740.25,93.43,1107.05,9.50,277030.75,91.28,4.28,41.531559,36.71,-1.4400,-0.2586
2001-03-01,137783.00,93.38,1109.00,9.50,276450.00,91.50,4.30,42.030399,36.53,-1.6443,-0.2957
2001-03-08,137673.71,93.31,1110.74,9.49,277434.06,90.80,4.32,42.542717,36.77,-1.7267,-0.3088
2001-03-15,137564.42,93.23,1112.48,9.48,278418.13,90.10,4.35,39.664299,37.00,-0.7957,-0.0762
2001-03-22,137455.13,93.15,1114.22,9.47,279402.19,89.40,4.37,39.35775,37.24,-0.6333,-0.0072
2001-03-29,137345.84,93.08,1115.95,9.46,280386.26,88.70,4.39,40.121368,37.48,-0.7908,-0.0743
2001-04-05,137271.40,92.95,1116.94,9.46,280899.73,88.88,4.39,38.959042,37.81,-0.3437,0.1455
2001-04-12,137223.10,92.80,1117.36,9.46,281060.27,89.72,4.36,40.803925,38.22,-0.7737,-0.0676
2001-04-19,137174.80,92.64,1117.78,9.46,281220.80,90.56,4.34,42.236588,38.62,-1.0805,-0.1721
2001-04-26,137126.50,92.49,1118.20,9.46,281381.33,91.40,4.32,43.081314,39.03,-1.2116,-0.2074
2001-05-03,137077.87,92.34,1119.00,9.46,281425.35,92.04,4.31,43.013744,39.33,-1.1019,-0.1782
2001-05-10,137028.42,92.19,1120.74,9.46,281178.10,92.17,4.36,42.446075,39.36,-0.9221,-0.1224
2001-05-17,136978.97,92.05,1122.47,9.46,280930.84,92.31,4.40,44.128792,39.39,-1.4149,-0.2536
2001-05-24,136929.52,91.91,1124.21,9.46,280683.58,92.45,4.45,43.42598,39.43,-1.1948,-0.2031
2001-05-31,136880.06,91.77,1125.95,9.46,280436.32,92.58,4.49,43.250259,39.46,-1.1321,-0.1866
2001-06-07,136912.60,91.65,1128.74,9.39,280221.60,92.56,4.52,43.148903,38.19,-1.4807,-0.2666
2001-06-14,136958.80,91.53,1131.70,9.30,280012.30,92.51,4.54,41.371586,36.71,-1.3931,-0.2491
2001-06-21,137005.00,91.42,1134.67,9.22,279803.00,92.47,4.57,41.709087,35.23,-1.9376,-0.3382
2001-06-28,137051.20,91.31,1137.63,9.13,279593.70,92.42,4.59,41.926117,33.74,-2.4461,-0.3915
2001-07-05,136963.90,91.21,1140.35,9.10,279750.32,92.28,4.64,40.89526,33.38,-2.2467,-0.3730
2001-07-12,136776.48,91.12,1142.87,9.10,280181.39,92.08,4.71,41.471722,33.85,-2.2766,-0.3760
2001-07-19,136589.06,91.03,1145.40,9.10,280612.45,91.88,4.77,41.017323,34.33,-1.9984,-0.3458
2001-07-26,136401.65,90.94,1147.93,9.10,281043.52,91.67,4.84,41.119061,34.81,-1.8863,-0.3315
2001-08-02,136260.52,90.86,1151.89,9.10,281241.10,91.19,4.90,41.342861,35.17,-1.8439,-0.3258
2001-08-09,136397.13,90.81,1164.42,9.10,280037.77,89.00,4.93,40.501896,34.88,-1.6813,-0.3017
2001-08-16,136533.74,90.77,1176.95,9.10,278834.45,86.81,4.95,39.477821,34.58,-1.4641,-0.2634
2001-08-23,136670.35,90.73,1189.49,9.10,277631.13,84.62,4.97,40.189922,34.28,-1.7657,-0.3146
2001-08-30,136806.97,90.68,1202.02,9.10,276427.81,82.43,4.99,38.67754,33.98,-1.4025,-0.2510
2001-09-06,136770.33,90.58,1198.93,9.10,279160.00,81.95,5.05,36.826069,34.02,-0.8385,-0.0925
2001-09-13,136664.40,90.46,1189.60,9.09,283466.40,82.16,5.12,36.948135,34.19,-0.8245,-0.0873
2001-09-20,136558.47,90.33,1180.27,9.09,287772.80,82.37,5.19,32.655159,34.36,0.5089,0.6796
2001-09-27,136452.53,90.21,1170.93,9.09,292079.20,82.58,5.26,35.028843,34.53,-0.1501,0.2668
2001-10-04,136377.10,90.12,1166.11,9.09,293821.06,82.82,5.32,35.652782,34.52,-0.3397,0.1479
2001-10-11,136342.32,90.07,1167.31,9.09,292143.55,83.09,5.36,36.560047,34.27,-0.6855,-0.0307
