Date,Value,Percent Stock
2008-06-01,9974,19%
2008-07-01,9802,100%
2008-08-01,11508,83%
2008-09-01,11505,89%
2008-10-01,10664,88%
2008-11-01,9592,86%
2008-12-01,10543,66%
2009-01-01,10732,79%
2009-02-01,10052,86%
2009-03-01,8913,99%
2009-04-01,11286,44%
2009-05-01,11718,5%
2009-06-01,11736,0%
2009-07-01,12196,39%
2009-08-01,12654,1%
2009-09-01,13640,5%
2009-10-01,14100,32%
2009-11-01,14150,1%
2009-12-01,14775,12%
2010-01-01,15139,25%
2010-02-01,15481,53%
2010-03-01,16105,34%
2010-04-01,16466,29%
2010-05-01,16736,20%
2010-06-01,17154,78%
2010-07-01,16821,93%
2010-08-01,19259,52%
2010-09-01,19545,83%
2010-10-01,21263,46%
2010-11-01,21553,48%
2010-12-01,21979,78%
2011-01-01,23765,33%
2011-02-01,24473,11%
2011-03-01,24509,11%
2011-04-01,24530,0%
2011-05-01,24545,0%
2011-06-01,26187,48%
2011-07-01,27919,55%
2011-08-01,29133,37%
2011-09-01,28989,92%
2011-10-01,28260,99%
2011-11-01,33120,32%
2011-12-01,33491,90%
2012-01-01,36374,60%
2012-02-01,39593,27%
2012-03-01,41574,23%
2012-04-01,41715,0%
2012-05-01,42856,13%
2012-06-01,44203,72%
2012-07-01,45882,1%
2012-08-01,45955,1%
2012-09-01,45960,1%
2012-10-01,51510,14%
2012-11-01,52093,7%
2012-12-01,53177,19%
2013-01-01,54099,4%
2013-02-01,54197,4%
2013-03-01,54212,4%
2013-04-01,54272,0%
2013-05-01,54278,0%
2013-06-01,54326,0%
2013-07-01,54324,0%
2013-08-01,54706,0%
2013-09-01,54697,0%
2013-10-01,54718,0%
2013-11-01,54725,0%
2013-12-01,54773,0%
2014-01-01,55066,0%
2014-02-01,55142,0%
2014-03-01,55149,0%
2014-04-01,56155,5%
2014-05-01,59850,24%
2014-06-01,60074,0%
2014-07-01,62562,12%
2014-08-01,63241,37%
2014-09-01,64340,4%
2014-10-01,68309,39%
2014-11-01,69394,5%
2014-12-01,74629,10%
2015-01-01,79092,18%
2015-02-01,80867,63%
2015-03-01,82925,23%
2015-04-01,84010,58%
2015-05-01,88390,43%
2015-06-01,91525,37%
2015-07-01,91851,65%
2015-08-01,92977,73%
2015-09-01,89523,98%
2015-10-01,88105,98%
2015-11-01,98736,55%
2015-12-01,102129,76%
2016-01-01,103296,88%
2016-02-01,99182,100%
2016-03-01,103753,93%
2016-04-01,110905,56%
2016-05-01,114916,13%
2016-06-01,121744,62%
2016-07-01,132272,50%
2016-08-01,135378,7%
2016-09-01,144216,25%
2016-10-01,146342,87%
2016-11-01,159216,68%
2016-12-01,170987,22%
2017-01-01,171829,0%
2017-02-01,175011,69%
2017-03-01,179433,0%
2017-04-01,197540,22%
2017-05-01,205780,20%
2017-06-01,210458,72%
2017-07-01,223217,45%
2017-08-01,224852,20%
2017-09-01,225664,72%
2017-10-01,230784,0%
2017-11-01,231550,83%
2017-12-01,256192,40%
2018-01-01,262031,6%
2018-02-01,262510,0%
2018-03-01,282508,22%
2018-04-01,284140,96%
2018-05-01,320069,78%
2018-06-01,323138,89%
2018-07-01,324369,89%
2018-08-01,347114,41%
