Date,CSUSHPISA,RSAFS,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-06-01,104.43,273422.00,4.00,41.583149,38.01,-0.7904,-0.2515
2000-06-08,104.57,273237.20,4.00,40.832027,37.92,-0.6440,-0.0989
2000-06-15,104.72,273052.40,4.00,40.091328,37.83,-0.4999,0.0513
2000-06-22,104.87,272867.60,4.00,39.402802,37.74,-0.3673,0.1894
2000-06-29,105.01,272682.80,4.00,39.115768,37.65,-0.3235,0.2351
2000-07-06,105.17,272676.45,4.02,40.128914,37.56,-0.5678,-0.0195
2000-07-13,105.33,272741.48,4.04,40.880955,37.46,-0.7549,-0.2144
2000-07-20,105.49,272806.52,4.06,40.160244,37.37,-0.6165,-0.0702
2000-07-27,105.65,272871.55,4.08,39.251545,37.28,-0.4366,0.1172
2000-08-03,105.82,273216.71,4.09,41.048058,37.36,-0.8143,-0.2763
2000-08-10,105.99,274262.19,4.04,41.497189,37.90,-0.7939,-0.2551
2000-08-17,106.17,275307.68,4.00,41.852318,38.45,-0.7527,-0.2121
2000-08-24,106.34,276353.16,3.95,41.925423,38.99,-0.6492,-0.1043
2000-08-31,106.51,277398.65,3.91,42.384998,39.53,-0.6311,-0.0854
2000-09-07,106.71,277423.80,3.90,42.614777,39.54,-0.6802,-0.1366
2000-09-14,106.90,277278.90,3.90,42.113434,39.45,-0.5874,-0.0399
2000-09-21,107.10,277134.00,3.90,41.27784,39.37,-0.4208,0.1337
2000-09-28,107.30,276989.10,3.90,42.308086,39.29,-0.6664,-0.1223
2000-10-05,107.50,276811.13,3.90,41.564194,39.20,-0.5229,0.0273
2000-10-12,107.71,276608.35,3.90,40.296413,39.09,-0.2657,0.2953
2000-10-19,107.91,276405.58,3.90,40.987923,38.99,-0.4415,0.1121
2000-10-26,108.12,276202.81,3.90,41.197487,38.89,-0.5108,0.0400
2000-11-02,108.33,276021.07,3.90,42.727184,38.79,-0.8700,-0.3344
2000-11-09,108.52,275965.53,3.90,42.077591,38.74,-0.7372,-0.1960
2000-11-16,108.72,275910.00,3.90,41.543224,38.69,-0.6299,-0.0842
2000-11-23,108.91,275854.47,3.90,40.90411,38.64,-0.4995,0.0517
2000-11-30,109.11,275798.93,3.90,40.925045,38.59,-0.5149,0.0356
2000-12-07,109.27,276379.97,3.96,41.574654,38.54,-0.6709,-0.1270
2000-12-14,109.43,277067.10,4.03,40.820278,38.48,-0.5170,0.0334
2000-12-21,109.60,277754.23,4.09,41.689133,38.42,-0.7218,-0.1800
2000-12-28,109.76,278441.35,4.16,42.721367,38.36,-0.9626,-0.4309
2001-01-04,109.91,278828.10,4.20,42.942535,38.32,-1.0213,-0.4921
2001-01-11,110.06,278814.32,4.20,43.321732,38.29,-1.1110,-0.5856
2001-01-18,110.21,278800.55,4.20,43.648262,38.27,-1.1891,-0.6669
2001-01-25,110.36,278786.77,4.20,43.858898,38.24,-1.2415,-0.7216
2001-02-01,110.50,278773.00,4.20,44.261684,38.21,-1.3364,-0.8205
2001-02-08,110.66,278192.25,4.23,43.850491,37.88,-1.3200,-0.8034
2001-02-15,110.81,277611.50,4.25,43.304451,37.54,-1.2739,-0.7553
2001-02-22,110.96,277030.75,4.28,41.531559,37.20,-0.9566,-0.4247
2001-03-01,111.11,276450.00,4.30,42.030399,36.87,-1.1413,-0.6171
2001-03-08,111.23,277434.06,4.32,42.542717,37.11,-1.2006,-0.6789
2001-03-15,111.36,278418.13,4.35,39.664299,37.35,-0.5106,0.0401
2001-03-22,111.48,279402.19,4.37,39.35775,37.60,-0.3889,0.1669
2001-03-29,111.60,280386.26,4.39,40.121368,37.84,-0.5037,0.0473
2001-04-05,111.72,280899.73,4.39,38.959042,38.03,-0.2064,0.3572
2001-04-12,111.84,281060.27,4.36,40.803925,38.16,-0.5835,-0.0359
2001-04-19,111.96,281220.80,4.34,42.236588,38.30,-0.8696,-0.3340
2001-04-26,112.08,281381.33,4.32,43.081314,38.44,-1.0258,-0.4967
2001-05-03,112.20,281425.35,4.31,43.013744,38.45,-1.0079,-0.4782
2001-05-10,112.35,281178.10,4.36,42.446075,38.15,-0.9486,-0.4163
2001-05-17,112.49,280930.84,4.40,44.128792,37.85,-1.3865,-0.8727
2001-05-24,112.63,280683.58,4.45,43.42598,37.55,-1.2973,-0.7797
2001-05-31,112.78,280436.32,4.49,43.250259,37.26,-1.3246,-0.8082
2001-06-07,112.94,280221.60,4.52,43.148903,37.04,-1.3490,-0.8336
2001-06-14,113.10,280012.30,4.54,41.371586,36.85,-0.9998,-0.4697
2001-06-21,113.26,279803.00,4.57,41.709087,36.65,-1.1180,-0.5928
2001-06-28,113.43,279593.70,4.59,41.926117,36.45,-1.2095,-0.6882
2001-07-05,113.58,279750.32,4.64,40.89526,36.28,-1.0192,-0.4899
2001-07-12,113.73,280181.39,4.71,41.471722,36.13,-1.1796,-0.6570
2001-07-19,113.89,280612.45,4.77,41.017323,35.98,-1.1121,-0.5867
2001-07-26,114.04,281043.52,4.84,41.119061,35.83,-1.1676,-0.6445
2001-08-02,114.19,281241.10,4.90,41.342861,35.63,-1.2627,-0.7436
2001-08-09,114.34,280037.77,4.93,40.501896,35.08,-1.1987,-0.6769
2001-08-16,114.48,278834.45,4.95,39.477821,34.53,-1.0942,-0.5681
2001-08-23,114.63,277631.13,4.97,40.189922,33.97,-1.3734,-0.8590
2001-08-30,114.77,276427.81,4.99,38.67754,33.42,-1.1611,-0.6378
2001-09-06,114.90,279160.00,5.05,36.826069,34.16,-0.5895,-0.0421
2001-09-13,115.01,283466.40,5.12,36.948135,35.41,-0.3402,0.2177
2001-09-20,115.13,287772.80,5.19,32.655159,36.66,0.8846,1.4940
2001-09-27,115.24,292079.20,5.26,35.028843,37.91,0.6363,1.2353
2001-10-04,115.36,293821.06,5.32,35.652782,38.27,0.5792,1.1758
2001-10-11,115.49,292143.55,5.36,36.560047,37.46,0.1989,0.7795
2001-10-18,115.61,290466.03,5.41,35.612827,36.65,0.2283,0.8101
2001-10-25,115.73,288788.52,5.45,36.546425,35.83,-0.1579,0.4077
2001-11-01,115.86,287111.00,5.50,35.844528,35.02,-0.1827,0.3818
2001-11-08,115.99,286316.27,5.55,36.962124,34.51,-0.5408,0.0087
2001-11-15,116.13,285521.53,5.59,37.405056,34.01,-0.7498,-0.2091
2001-11-22,116.27,284726.80,5.64,37.779861,33.51,-0.9438,-0.4113
2001-11-29,116.41,283932.07,5.69,37.152916,33.01,-0.9164,-0.3827
2001-12-06,116.56,283673.23,5.70,38.113777,32.83,-1.1666,-0.6435
2001-12-13,116.72,283628.74,5.70,36.641827,32.79,-0.8501,-0.3136
2001-12-20,116.88,283584.26,5.70,37.064327,32.76,-0.9521,-0.4200
2001-12-27,117.03,283539.77,5.70,38.041897,32.72,-1.1768,-0.6541
2002-01-03,117.19,283607.74,5.70,38.712181,32.72,-1.3246,-0.8081
2002-01-10,117.35,283956.84,5.70,37.549446,32.82,-1.0449,-0.5167
2002-01-17,117.51,284305.94,5.70,36.886009,32.92,-0.8755,-0.3402
2002-01-24,117.67,284655.03,5.70,37.200626,33.03,-0.9223,-0.3889
2002-01-31,117.82,285004.13,5.70,36.530346,33.13,-0.7514,-0.2108
2002-02-07,118.03,284884.29,5.70,35.689068,33.06,-0.5817,-0.0340
2002-02-14,118.24,284686.29,5.70,35.901112,32.95,-0.6513,-0.1064
2002-02-21,118.45,284488.29,5.70,35.490719,32.85,-0.5833,-0.0356
2002-02-28,118.66,284290.29,5.70,37.104877,32.75,-0.9626,-0.4309
2002-03-07,118.87,285146.71,5.74,38.554874,32.87,-1.2570,-0.7377
2002-03-14,119.08,286178.87,5.78,38.561703,33.02,-1.2244,-0.7037
2002-03-21,119.29,287211.03,5.83,38.116482,33.18,-1.0919,-0.5656
2002-03-28,119.49,288243.19,5.87,38.370323,33.33,-1.1138,-0.5885
2002-04-04,119.73,288444.80,5.89,37.780315,33.30,-0.9894,-0.4588
2002-04-11,119.98,287539.00,5.87,37.272648,33.03,-0.9366,-0.4038
2002-04-18,120.24,286633.20,5.84,37.993015,32.76,-1.1552,-0.6316
2002-04-25,120.50,285727.40,5.82,36.291618,32.50,-0.8386,-0.3017
2002-05-02,120.76,285029.10,5.80,36.751255,32.29,-0.9860,-0.4553
2002-05-09,121.01,285575.77,5.80,35.934864,32.45,-0.7699,-0.2301
2002-05-16,121.25,286122.45,5.80,37.471607,32.61,-1.0737,-0.5467
2002-05-23,121.50,286669.13,5.80,37.032532,32.77,-0.9409,-0.4083
2002-05-30,121.74,287215.81,5.80,36.469986,32.94,-0.7809,-0.2415
2002-06-06,121.99,287874.17,5.80,35.104759,33.14,-0.4346,0.1193
2002-06-13,122.24,288577.20,5.80,34.281521,33.36,-0.2046,0.3590
2002-06-20,122.49,289280.23,5.80,34.164898,33.57,-0.1308,0.4359
2002-06-27,122.74,289983.27,5.80,34.164406,33.79,-0.0826,0.4862
2002-07-04,122.98,290604.19,5.79,33.985325,34.02,0.0080,0.5805
2002-07-11,123.19,291115.65,5.77,31.595171,34.27,0.5909,1.1880
2002-07-18,123.41,291627.10,5.75,28.929541,34.52,1.2347,1.8590
2002-07-25,123.62,292138.55,5.72,28.44738,34.77,1.3961,2.0271
2002-08-01,123.83,292650.00,5.70,28.833117,35.01,1.3657,1.9954
2002-08-08,124.05,291692.58,5.70,30.382904,34.64,0.9397,1.5515
2002-08-15,124.26,290735.16,5.70,30.98905,34.26,0.7222,1.3248
2002-08-22,124.47,289777.74,5.70,31.395449,33.88,0.5488,1.1441
2002-08-29,124.69,288820.32,5.70,30.747971,33.50,0.6083,1.2061
2002-09-05,124.91,288565.47,5.70,29.96962,33.38,0.7528,1.3567
2002-09-12,125.13,288837.53,5.70,29.63212,33.44,0.8419,1.4495
2002-09-19,125.35,289109.60,5.70,27.930794,33.51,1.2323,1.8564
2002-09-26,125.57,289381.67,5.70,27.54431,33.57,1.3322,1.9605
2002-10-03,125.79,289699.10,5.71,26.499027,33.60,1.5696,2.2079
2002-10-10,126.00,290129.94,5.76,27.350492,33.54,1.3674,1.9972
2002-10-17,126.21,290560.77,5.80,28.935717,33.48,1.0031,1.6175
2002-10-24,126.43,290991.61,5.85,29.89793,33.41,0.7764,1.3813
2002-10-31,126.64,291422.45,5.89,30.084845,33.35,0.7211,1.3237
2002-11-07,126.86,291976.60,5.92,29.717966,33.41,0.8149,1.4215
2002-11-14,127.08,292551.30,5.94,30.320204,33.48,0.6991,1.3007
2002-11-21,127.30,293126.00,5.97,31.254736,33.56,0.5098,1.1035
2002-11-28,127.52,293700.70,5.99,31.365492,33.64,0.5026,1.0960
2002-12-05,127.73,294114.87,5.97,30.597105,33.83,0.7135,1.3157
2002-12-12,127.92,294408.65,5.93,29.904869,34.09,0.9254,1.5366
2002-12-19,128.11,294702.42,5.88,30.230215,34.36,0.9124,1.5231
2002-12-26,128.30,294996.19,5.84,29.703678,34.63,1.0877,1.7058
2003-01-02,128.49,295116.35,5.80,30.859251,34.79,0.8685,1.4773
2003-01-09,128.69,294194.84,5.83,31.569302,34.33,0.6105,1.2084
2003-01-16,128.89,293273.32,5.85,30.935827,33.87,0.6493,1.2489
2003-01-23,129.10,292351.81,5.87,29.306887,33.42,0.9081,1.5186
2003-01-30,129.30,291430.29,5.89,29.063248,32.96,0.8608,1.4693
2003-02-06,129.50,292088.07,5.90,28.074745,33.14,1.1194,1.7388
2003-02-13,129.70,293377.57,5.90,27.928564,33.58,1.2484,1.8732
2003-02-20,129.90,294667.07,5.90,28.548109,34.02,1.2082,1.8313
2003-02-27,130.09,295956.57,5.90,28.367117,34.45,1.3449,1.9738
2003-03-06,130.27,296208.06,5.92,27.775419,34.45,1.4752,2.1095
