Date,CE16OV,EXUSEU,M1SL,M1V,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-06-01,136940.00,0.95,1102.60,9.25,4.00,41.583149,38.58,-0.7975,0.1302
2000-06-08,136844.57,0.95,1102.81,9.28,4.00,40.832027,39.32,-0.4009,0.3981
2000-06-15,136749.13,0.94,1103.02,9.31,4.00,40.091328,40.07,-0.0070,0.6642
2000-06-22,136653.70,0.94,1103.23,9.34,4.00,39.402802,40.81,0.3731,0.9209
2000-06-29,136558.27,0.94,1103.44,9.36,4.00,39.115768,41.55,0.6466,1.1056
2000-07-06,136552.13,0.93,1102.97,9.37,4.02,40.128914,41.50,0.3637,0.9146
2000-07-13,136581.71,0.93,1102.22,9.37,4.04,40.880955,41.13,0.0656,0.7132
2000-07-20,136611.29,0.92,1101.48,9.37,4.06,40.160244,40.76,0.1583,0.7758
2000-07-27,136640.87,0.91,1100.73,9.37,4.08,39.251545,40.39,0.3009,0.8721
2000-08-03,136676.90,0.90,1100.17,9.37,4.09,41.048058,40.11,-0.2481,0.5013
2000-08-10,136729.06,0.89,1100.05,9.37,4.04,41.497189,40.09,-0.3740,0.4163
2000-08-17,136781.23,0.89,1099.94,9.37,4.00,41.852318,40.06,-0.4749,0.3481
2000-08-24,136833.39,0.88,1099.83,9.37,3.95,41.925423,40.04,-0.5009,0.3305
2000-08-31,136885.55,0.87,1099.72,9.37,3.91,42.384998,40.01,-0.6295,0.2436
2000-09-07,136932.00,0.87,1099.50,9.41,3.90,42.614777,40.45,-0.5754,0.2802
2000-09-14,136977.50,0.86,1099.27,9.45,3.90,42.113434,40.96,-0.3070,0.4615
2000-09-21,137023.00,0.86,1099.03,9.49,3.90,41.27784,41.47,0.0501,0.7028
2000-09-28,137068.50,0.85,1098.80,9.53,3.90,42.308086,41.98,-0.0878,0.6096
2000-10-05,137118.19,0.85,1097.89,9.55,3.90,41.564194,42.05,0.1297,0.7565
2000-10-12,137171.03,0.85,1096.46,9.55,3.90,40.296413,41.80,0.3999,0.9390
2000-10-19,137223.87,0.85,1095.04,9.55,3.90,40.987923,41.55,0.1502,0.7704
2000-10-26,137276.71,0.85,1093.62,9.55,3.90,41.197487,41.30,0.0284,0.6881
2000-11-02,137331.73,0.86,1092.27,9.55,3.90,42.727184,41.07,-0.4389,0.3725
2000-11-09,137399.87,0.87,1091.39,9.55,3.90,42.077591,40.95,-0.2990,0.4669
2000-11-16,137468.00,0.88,1090.50,9.55,3.90,41.543224,40.83,-0.1898,0.5407
2000-11-23,137536.13,0.89,1089.61,9.55,3.90,40.90411,40.71,-0.0527,0.6333
2000-11-30,137604.27,0.90,1088.73,9.55,3.90,40.925045,40.58,-0.0908,0.6075
2000-12-07,137645.74,0.91,1090.17,9.54,3.96,41.574654,40.22,-0.3603,0.4255
2000-12-14,137682.77,0.91,1092.00,9.53,4.03,40.820278,39.81,-0.2679,0.4879
2000-12-21,137719.81,0.92,1093.83,9.52,4.09,41.689133,39.40,-0.6063,0.2594
