Date,Value,Percent Stock
2008-06-01,9987,0%
2008-07-01,9989,99%
2008-08-01,10184,99%
2008-09-01,10207,99%
2008-10-01,9374,99%
2008-11-01,8313,98%
2008-12-01,7796,98%
2009-01-01,8027,98%
2009-02-01,7273,98%
2009-03-01,6356,98%
2009-04-01,8147,39%
2009-05-01,8306,0%
2009-06-01,8306,0%
2009-07-01,8307,0%
2009-08-01,8307,0%
2009-09-01,8307,0%
2009-10-01,8333,0%
2009-11-01,8371,0%
2009-12-01,8372,0%
2010-01-01,8372,0%
2010-02-01,8372,0%
2010-03-01,8372,0%
2010-04-01,8372,0%
2010-05-01,8398,0%
2010-06-01,8748,72%
2010-07-01,8482,100%
2010-08-01,9371,86%
2010-09-01,9306,100%
2010-10-01,10131,30%
2010-11-01,10229,99%
2010-12-01,11433,78%
2011-01-01,12803,67%
2011-02-01,13068,99%
2011-03-01,13242,99%
2011-04-01,13968,88%
2011-05-01,14449,40%
2011-06-01,14280,99%
2011-07-01,14831,91%
2011-08-01,13835,100%
2011-09-01,13178,100%
2011-10-01,12809,100%
2011-11-01,14025,100%
2011-12-01,13876,100%
2012-01-01,14215,100%
2012-02-01,16703,53%
2012-03-01,17940,33%
2012-04-01,18036,1%
2012-05-01,18576,23%
2012-06-01,18675,90%
2012-07-01,19560,1%
2012-08-01,22626,10%
2012-09-01,22737,3%
2012-10-01,22995,18%
2012-11-01,23238,9%
2012-12-01,26241,25%
2013-01-01,27360,24%
2013-02-01,27659,0%
2013-03-01,27659,0%
2013-04-01,27659,0%
2013-05-01,27659,0%
2013-06-01,27659,0%
2013-07-01,27659,0%
2013-08-01,27807,0%
2013-09-01,27880,0%
2013-10-01,27880,0%
2013-11-01,27880,0%
2013-12-01,27880,0%
2014-01-01,28000,0%
2014-02-01,28041,0%
2014-03-01,28100,0%
2014-04-01,28100,0%
2014-05-01,28100,0%
2014-06-01,28100,0%
2014-07-01,28100,0%
2014-08-01,28248,0%
2014-09-01,28321,0%
2014-10-01,30552,9%
2014-11-01,30655,1%
2014-12-01,30657,1%
2015-01-01,32784,5%
2015-02-01,32805,99%
2015-03-01,37939,64%
2015-04-01,41940,56%
2015-05-01,44985,35%
2015-06-01,45072,1%
2015-07-01,46911,20%
2015-08-01,49038,44%
2015-09-01,47909,100%
2015-10-01,47129,100%
2015-11-01,51013,51%
2015-12-01,50749,100%
2016-01-01,50228,100%
2016-02-01,47987,100%
2016-03-01,49863,100%
2016-04-01,51295,100%
2016-05-01,53220,10%
2016-06-01,53803,94%
2016-07-01,61090,67%
2016-08-01,62972,9%
2016-09-01,71154,13%
2016-10-01,71068,100%
2016-11-01,79843,72%
2016-12-01,83441,1%
2017-01-01,83461,1%
2017-02-01,83461,1%
2017-03-01,83494,1%
2017-04-01,83481,1%
2017-05-01,83480,1%
2017-06-01,83590,1%
2017-07-01,84155,1%
2017-08-01,84168,1%
2017-09-01,89059,53%
2017-10-01,90528,0%
2017-11-01,90528,0%
2017-12-01,90631,0%
2018-01-01,90831,0%
2018-02-01,90834,0%
2018-03-01,90828,0%
2018-04-01,100549,42%
2018-05-01,103084,12%
2018-06-01,103237,12%
2018-07-01,104513,6%
2018-08-01,104708,0%
