Date,M1SL,M1V,UMCSENT,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-06-01,1102.60,9.25,106.40,4.00,41.583149,38.67,-0.7252,0.3343
2000-06-08,1102.81,9.28,106.84,4.00,40.832027,39.04,-0.4468,0.4369
2000-06-15,1103.02,9.31,107.29,4.00,40.091328,39.41,-0.1709,0.5386
2000-06-22,1103.23,9.34,107.73,4.00,39.402802,39.77,0.0919,0.6355
2000-06-29,1103.44,9.36,108.17,4.00,39.115768,40.14,0.2547,0.6956
2000-07-06,1102.97,9.37,108.14,4.02,40.128914,40.16,0.0079,0.6046
2000-07-13,1102.22,9.37,107.91,4.04,40.880955,40.05,-0.2079,0.5250
2000-07-20,1101.48,9.37,107.69,4.06,40.160244,39.93,-0.0567,0.5808
2000-07-27,1100.73,9.37,107.46,4.08,39.251545,39.82,0.1415,0.6538
2000-08-03,1100.17,9.37,107.27,4.09,41.048058,39.75,-0.3232,0.4825
2000-08-10,1100.05,9.37,107.15,4.04,41.497189,39.80,-0.4232,0.4456
2000-08-17,1099.94,9.37,107.04,4.00,41.852318,39.85,-0.4998,0.4174
2000-08-24,1099.83,9.37,106.93,3.95,41.925423,39.90,-0.5061,0.4151
2000-08-31,1099.72,9.37,106.82,3.91,42.384998,39.94,-0.6087,0.3772
2000-09-07,1099.50,9.41,106.60,3.90,42.614777,40.24,-0.5920,0.3834
2000-09-14,1099.27,9.45,106.37,3.90,42.113434,40.58,-0.3828,0.4605
2000-09-21,1099.03,9.49,106.13,3.90,41.27784,40.92,-0.0902,0.5684
2000-09-28,1098.80,9.53,105.90,3.90,42.308086,41.25,-0.2627,0.5048
2000-10-05,1097.89,9.55,106.03,3.90,41.564194,41.41,-0.0384,0.5875
2000-10-12,1096.46,9.55,106.44,3.90,40.296413,41.43,0.2826,0.7058
2000-10-19,1095.04,9.55,106.85,3.90,40.987923,41.45,0.1151,0.6441
2000-10-26,1093.62,9.55,107.25,3.90,41.197487,41.47,0.0677,0.6266
2000-11-02,1092.27,9.55,107.29,3.90,42.727184,41.42,-0.3258,0.4815
2000-11-09,1091.39,9.55,105.15,3.90,42.077591,40.96,-0.2790,0.4988
2000-11-16,1090.50,9.55,103.00,3.90,41.543224,40.50,-0.2608,0.5055
2000-11-23,1089.61,9.55,100.85,3.90,40.90411,40.04,-0.2166,0.5218
2000-11-30,1088.73,9.55,98.71,3.90,40.925045,39.57,-0.3369,0.4775
2000-12-07,1090.17,9.54,97.68,3.96,41.574654,39.25,-0.5800,0.3878
2000-12-14,1092.00,9.53,96.85,4.03,40.820278,38.95,-0.4674,0.4293
2000-12-21,1093.83,9.52,96.01,4.09,41.689133,38.64,-0.7595,0.3216
2000-12-28,1095.65,9.51,95.18,4.16,42.721367,38.34,-1.0924,0.1989
2001-01-04,1097.14,9.50,94.30,4.20,42.942535,38.11,-1.2056,0.1572
2001-01-11,1098.15,9.50,93.38,4.20,43.321732,37.97,-1.3349,0.1095
2001-01-18,1099.17,9.50,92.45,4.20,43.648262,37.83,-1.4510,0.0667
2001-01-25,1100.18,9.50,91.53,4.20,43.858898,37.69,-1.5383,0.0345
2001-02-01,1101.20,9.50,90.60,4.20,44.261684,37.55,-1.6735,-0.0153
2001-02-08,1103.15,9.50,90.82,4.23,43.850491,37.63,-1.5495,0.0303
2001-02-15,1105.10,9.50,91.05,4.25,43.304451,37.72,-1.3920,0.0884
2001-02-22,1107.05,9.50,91.28,4.28,41.531559,37.81,-0.9286,0.2593
2001-03-01,1109.00,9.50,91.50,4.30,42.030399,37.89,-1.0315,0.2213
2001-03-08,1110.74,9.49,90.80,4.32,42.542717,37.70,-1.2077,0.1564
2001-03-15,1112.48,9.48,90.10,4.35,39.664299,37.50,-0.5386,0.4031
2001-03-22,1114.22,9.47,89.40,4.37,39.35775,37.31,-0.5106,0.4134
2001-03-29,1115.95,9.46,88.70,4.39,40.121368,37.12,-0.7494,0.3254
2001-04-05,1116.94,9.46,88.88,4.39,38.959042,37.16,-0.4487,0.4362
2001-04-12,1117.36,9.46,89.72,4.36,40.803925,37.38,-0.8531,0.2871
2001-04-19,1117.78,9.46,90.56,4.34,42.236588,37.60,-1.1548,0.1759
2001-04-26,1118.20,9.46,91.40,4.32,43.081314,37.83,-1.3099,0.1187
2001-05-03,1119.00,9.46,92.04,4.31,43.013744,37.99,-1.2516,0.1402
2001-05-10,1120.74,9.46,92.17,4.36,42.446075,38.02,-1.1036,0.1947
2001-05-17,1122.47,9.46,92.31,4.40,44.128792,38.04,-1.5167,0.0425
2001-05-24,1124.21,9.46,92.45,4.45,43.42598,38.07,-1.3350,0.1094
2001-05-31,1125.95,9.46,92.58,4.49,43.250259,38.10,-1.2848,0.1280
2001-06-07,1128.74,9.39,92.56,4.52,43.148903,37.48,-1.4136,0.0805
2001-06-14,1131.70,9.30,92.51,4.54,41.371586,36.75,-1.1514,0.1771
2001-06-21,1134.67,9.22,92.47,4.57,41.709087,36.03,-1.4164,0.0794
2001-06-28,1137.63,9.13,92.42,4.59,41.926117,35.30,-1.6514,-0.0072
2001-07-05,1140.35,9.10,92.28,4.64,40.89526,34.96,-1.4783,0.0566
2001-07-12,1142.87,9.10,92.08,4.71,41.471722,34.92,-1.6332,-0.0005
2001-07-19,1145.40,9.10,91.88,4.77,41.017323,34.87,-1.5311,0.0371
2001-07-26,1147.93,9.10,91.67,4.84,41.119061,34.83,-1.5677,0.0237
2001-08-02,1151.89,9.10,91.19,4.90,41.342861,34.80,-1.6308,0.0004
2001-08-09,1164.42,9.10,89.00,4.93,40.501896,34.86,-1.4052,0.0836
2001-08-16,1176.95,9.10,86.81,4.95,39.477821,34.93,-1.1339,0.1836
2001-08-23,1189.49,9.10,84.62,4.97,40.189922,34.99,-1.2954,0.1240
2001-08-30,1202.02,9.10,82.43,4.99,38.67754,35.06,-0.9025,0.2689
2001-09-06,1198.93,9.10,81.95,5.05,36.826069,34.72,-0.5249,0.4081
2001-09-13,1189.60,9.09,82.16,5.12,36.948135,34.22,-0.6792,0.3512
2001-09-20,1180.27,9.09,82.37,5.19,32.655159,33.73,0.2670,0.7001
2001-09-27,1170.93,9.09,82.58,5.26,35.028843,33.23,-0.4486,0.4363
2001-10-04,1166.11,9.09,82.82,5.32,35.652782,32.96,-0.6717,0.3540
2001-10-11,1167.31,9.09,83.09,5.36,36.560047,32.99,-0.8905,0.2733
2001-10-18,1168.51,9.09,83.36,5.41,35.612827,33.02,-0.6471,0.3631
2001-10-25,1169.70,9.09,83.63,5.45,36.546425,33.05,-0.8724,0.2800
2001-11-01,1170.90,9.09,83.90,5.50,35.844528,33.08,-0.6901,0.3472
2001-11-08,1173.77,9.09,85.04,5.55,36.962124,33.35,-0.9013,0.2694
2001-11-15,1176.64,9.09,86.19,5.59,37.405056,33.62,-0.9443,0.2535
2001-11-22,1179.51,9.09,87.33,5.64,37.779861,33.89,-0.9703,0.2439
2001-11-29,1182.38,9.09,88.47,5.69,37.152916,34.16,-0.7465,0.3264
2001-12-06,1184.39,9.08,89.48,5.70,38.113777,34.37,-0.9327,0.2578
2001-12-13,1186.06,9.07,90.43,5.70,36.641827,34.56,-0.5180,0.4107
2001-12-20,1187.74,9.07,91.37,5.70,37.064327,34.76,-0.5755,0.3895
2001-12-27,1189.41,9.06,92.32,5.70,38.041897,34.95,-0.7714,0.3172
2002-01-03,1190.60,9.06,92.85,5.70,38.712181,35.05,-0.9117,0.2655
2002-01-10,1190.60,9.06,92.33,5.70,37.549446,34.95,-0.6474,0.3630
2002-01-17,1190.60,9.06,91.81,5.70,36.886009,34.85,-0.5076,0.4145
2002-01-24,1190.60,9.06,91.29,5.70,37.200626,34.75,-0.6116,0.3762
2002-01-31,1190.60,9.06,90.77,5.70,36.530346,34.64,-0.4701,0.4283
2002-02-07,1191.18,9.06,91.77,5.70,35.689068,34.87,-0.2051,0.5260
2002-02-14,1191.85,9.06,93.02,5.70,35.901112,35.14,-0.1893,0.5319
2002-02-21,1192.53,9.06,94.27,5.70,35.490719,35.42,-0.0183,0.5949
2002-02-28,1193.20,9.06,95.52,5.70,37.104877,35.69,-0.3520,0.4719
2002-03-07,1192.06,9.07,95.18,5.74,38.554874,35.70,-0.7120,0.3391
2002-03-14,1190.62,9.10,94.57,5.78,38.561703,35.66,-0.7235,0.3349
2002-03-21,1189.17,9.12,93.96,5.83,38.116482,35.62,-0.6224,0.3722
2002-03-28,1187.73,9.14,93.35,5.87,38.370323,35.58,-0.6954,0.3453
2002-04-04,1187.14,9.16,93.39,5.89,37.780315,35.66,-0.5281,0.4070
2002-04-11,1187.70,9.16,94.30,5.87,37.272648,35.90,-0.3411,0.4759
2002-04-18,1188.26,9.16,95.21,5.84,37.993015,36.15,-0.4603,0.4319
2002-04-25,1188.82,9.16,96.12,5.82,36.291618,36.39,0.0242,0.6106
2002-05-02,1189.42,9.16,96.75,5.80,36.751255,36.57,-0.0444,0.5853
2002-05-09,1190.28,9.16,95.74,5.80,35.934864,36.41,0.1182,0.6452
2002-05-16,1191.14,9.16,94.72,5.80,37.471607,36.24,-0.3058,0.4889
2002-05-23,1192.00,9.16,93.71,5.80,37.032532,36.08,-0.2372,0.5142
2002-05-30,1192.85,9.16,92.69,5.80,36.469986,35.92,-0.1379,0.5508
2002-06-06,1194.13,9.16,91.68,5.80,35.104759,35.85,0.1859,0.6702
2002-06-13,1195.58,9.18,90.68,5.80,34.281521,35.82,0.3843,0.7433
2002-06-20,1197.03,9.19,89.68,5.80,34.164898,35.80,0.4065,0.7515
2002-06-27,1198.47,9.20,88.67,5.80,34.164406,35.77,0.3998,0.7491
2002-07-04,1198.11,9.21,88.05,5.79,33.985325,35.71,0.4295,0.7600
2002-07-11,1195.33,9.21,87.94,5.77,31.595171,35.61,0.9996,0.9702
2002-07-18,1192.55,9.21,87.83,5.75,28.929541,35.50,1.6384,1.2057
2002-07-25,1189.78,9.21,87.71,5.72,28.44738,35.40,1.7329,1.2406
2002-08-01,1187.00,9.21,87.60,5.70,28.833117,35.30,1.6110,1.1956
2002-08-08,1189.03,9.21,87.26,5.70,30.382904,35.32,1.2296,1.0550
2002-08-15,1191.06,9.21,86.92,5.70,30.98905,35.34,1.0834,1.0011
2002-08-22,1193.10,9.21,86.58,5.70,31.395449,35.36,0.9871,0.9656
2002-08-29,1195.13,9.21,86.25,5.70,30.747971,35.37,1.1534,1.0269
2002-09-05,1197.05,9.20,85.37,5.70,29.96962,35.20,1.3043,1.0826
2002-09-12,1198.90,9.18,84.08,5.70,29.63212,34.88,1.3093,1.0844
2002-09-19,1200.74,9.17,82.80,5.70,27.930794,34.57,1.6543,1.2116
2002-09-26,1202.58,9.15,81.52,5.70,27.54431,34.25,1.6716,1.2180
2002-10-03,1204.27,9.14,80.83,5.71,26.499027,34.06,1.8856,1.2969
2002-10-10,1205.55,9.14,81.65,5.76,27.350492,34.20,1.7083,1.2315
2002-10-17,1206.84,9.14,82.46,5.80,28.935717,34.34,1.3482,1.0987
2002-10-24,1208.13,9.14,83.27,5.85,29.89793,34.48,1.1433,1.0232
2002-10-31,1209.42,9.14,84.08,5.89,30.084845,34.62,1.1317,1.0189
2002-11-07,1211.72,9.14,84.70,5.92,29.717966,34.80,1.2670,1.0688
2002-11-14,1214.19,9.14,85.28,5.94,30.320204,34.98,1.1622,1.0302
2002-11-21,1216.67,9.14,85.87,5.97,31.254736,35.16,0.9745,0.9610
2002-11-28,1219.14,9.14,86.45,5.99,31.365492,35.35,0.9922,0.9675
2002-12-05,1221.12,9.13,86.15,5.97,30.597105,35.29,1.1699,1.0330
2002-12-12,1222.72,9.11,85.17,5.93,29.904869,35.06,1.2842,1.0752
2002-12-19,1224.32,9.09,84.20,5.88,30.230215,34.82,1.1449,1.0238
2002-12-26,1225.93,9.07,83.23,5.84,29.703678,34.59,1.2179,1.0507
2003-01-02,1227.65,9.06,82.32,5.80,30.859251,34.38,0.8783,0.9255
2003-01-09,1230.11,9.06,81.75,5.83,31.569302,34.34,0.6903,0.8562
2003-01-16,1232.57,9.06,81.19,5.85,30.935827,34.29,0.8372,0.9104
2003-01-23,1235.04,9.06,80.63,5.87,29.306887,34.25,1.2323,1.0560
2003-01-30,1237.50,9.06,80.06,5.89,29.063248,34.21,1.2821,1.0744
2003-02-06,1238.43,9.06,79.49,5.90,28.074745,34.12,1.5076,1.1575
2003-02-13,1238.76,9.06,78.91,5.90,27.928564,34.02,1.5192,1.1618
2003-02-20,1239.08,9.06,78.34,5.90,28.548109,33.92,1.3399,1.0957
2003-02-27,1239.41,9.06,77.76,5.90,28.367117,33.82,1.3602,1.1031
2003-03-06,1241.21,9.04,78.95,5.92,27.775419,33.92,1.5315,1.1663
2003-03-13,1243.60,9.01,80.85,5.94,27.691877,34.09,1.5957,1.1900
2003-03-20,1246.00,8.98,82.75,5.96,29.742634,34.27,1.1279,1.0175
2003-03-27,1248.39,8.95,84.65,5.98,28.840506,34.44,1.3961,1.1164
2003-04-03,1251.35,8.93,86.41,6.01,29.385973,34.69,1.3216,1.0889
2003-04-10,1255.74,8.93,87.83,6.03,29.092257,35.12,1.5018,1.1554
2003-04-17,1260.13,8.93,89.25,6.05,29.959433,35.55,1.3927,1.1151
2003-04-24,1264.51,8.93,90.68,6.08,30.330084,35.98,1.4073,1.1205
2003-05-01,1268.90,8.93,92.10,6.10,31.490973,36.40,1.2249,1.0533
2003-05-08,1271.54,8.93,91.56,6.15,31.581902,36.34,1.1849,1.0385
2003-05-15,1274.18,8.93,91.02,6.19,32.281223,36.27,0.9933,0.9679
2003-05-22,1276.83,8.93,90.47,6.24,32.092415,36.20,1.0230,0.9788
2003-05-29,1279.47,8.93,89.93,6.28,33.386173,36.13,0.6832,0.8536
2003-06-05,1281.53,8.93,89.86,6.29,34.351242,36.20,0.4617,0.7719
2003-06-12,1283.17,8.94,90.14,6.26,34.365223,36.39,0.5046,0.7877
2003-06-19,1284.80,8.94,90.42,6.24,33.994583,36.58,0.6433,0.8388
2003-06-26,1286.43,8.94,90.70,6.22,33.544353,36.76,0.8019,0.8973
2003-07-03,1288.15,8.94,90.80,6.19,33.930569,36.91,0.7422,0.8753
2003-07-10,1290.10,8.94,90.44,6.17,34.394032,36.96,0.6388,0.8372
2003-07-17,1292.04,8.94,90.07,6.15,34.253586,37.01,0.6860,0.8546
2003-07-24,1293.98,8.94,89.71,6.13,34.478283,37.05,0.6422,0.8384
2003-07-31,1295.92,8.94,89.35,6.10,33.944618,37.10,0.7875,0.8920
2003-08-07,1296.37,8.94,88.99,6.10,33.930569,37.06,0.7793,0.8890
2003-08-14,1296.58,8.94,88.63,6.10,34.471268,36.99,0.6289,0.8335
2003-08-21,1296.78,8.94,88.27,6.10,34.520416,36.93,0.6010,0.8233
2003-08-28,1296.98,8.94,87.91,6.10,34.94175,36.87,0.4804,0.7788
2003-09-04,1297.16,8.95,87.89,6.09,35.278805,36.99,0.4263,0.7588
2003-09-11,1297.30,8.98,88.33,6.07,35.124317,37.35,0.5555,0.8065
