Date,Value,Percent Stock
2008-06-01,9974,31%
2008-07-01,9713,99%
2008-08-01,9901,99%
2008-09-01,9924,99%
2008-10-01,9119,98%
2008-11-01,8095,98%
2008-12-01,7596,98%
2009-01-01,7819,98%
2009-02-01,7091,98%
2009-03-01,6206,97%
2009-04-01,8046,69%
2009-05-01,8478,6%
2009-06-01,8492,0%
2009-07-01,8913,60%
2009-08-01,9435,1%
2009-09-01,10541,7%
2009-10-01,10912,51%
2009-11-01,10968,1%
2009-12-01,11694,19%
2010-01-01,12063,41%
2010-02-01,12055,86%
2010-03-01,12801,53%
2010-04-01,13262,47%
2010-05-01,13591,32%
2010-06-01,13296,100%
2010-07-01,12764,100%
2010-08-01,15140,78%
2010-09-01,15050,100%
2010-10-01,15507,78%
2010-11-01,17279,69%
2010-12-01,17356,99%
2011-01-01,19444,52%
2011-02-01,20366,18%
2011-03-01,20415,18%
2011-04-01,20455,1%
2011-05-01,20458,1%
2011-06-01,21255,76%
2011-07-01,21896,90%
2011-08-01,23217,55%
2011-09-01,22600,100%
2011-10-01,21971,100%
2011-11-01,26719,48%
2011-12-01,26587,100%
2012-01-01,27222,100%
2012-02-01,31272,43%
2012-03-01,33889,38%
2012-04-01,34094,0%
2012-05-01,35534,22%
2012-06-01,35064,100%
2012-07-01,36920,1%
2012-08-01,36927,1%
2012-09-01,43775,6%
2012-10-01,50342,23%
2012-11-01,50854,11%
2012-12-01,51219,32%
2013-01-01,52248,4%
2013-02-01,52334,0%
2013-03-01,52334,0%
2013-04-01,52335,0%
2013-05-01,52337,0%
2013-06-01,52354,0%
2013-07-01,52353,0%
2013-08-01,52741,0%
2013-09-01,52757,0%
2013-10-01,52758,0%
2013-11-01,52760,0%
2013-12-01,52777,0%
2014-01-01,53038,0%
2014-02-01,53160,0%
2014-03-01,53181,0%
2014-04-01,57739,6%
2014-05-01,59903,39%
2014-06-01,60261,1%
2014-07-01,60519,21%
2014-08-01,65275,55%
2014-09-01,66937,5%
2014-10-01,71264,63%
2014-11-01,73016,7%
2014-12-01,81190,15%
2015-01-01,87834,29%
2015-02-01,87461,99%
2015-03-01,91231,38%
2015-04-01,92059,92%
2015-05-01,99281,66%
2015-06-01,104661,58%
2015-07-01,104055,100%
2015-08-01,103887,100%
2015-09-01,98192,100%
2015-10-01,96598,100%
2015-11-01,111057,85%
2015-12-01,110086,99%
2016-01-01,108929,99%
2016-02-01,103997,99%
2016-03-01,108120,99%
2016-04-01,112927,90%
2016-05-01,119858,22%
2016-06-01,120173,99%
2016-07-01,136374,77%
2016-08-01,141361,11%
2016-09-01,154552,39%
2016-10-01,154071,100%
2016-11-01,151980,100%
2016-12-01,169298,35%
2017-01-01,170627,0%
2017-02-01,170615,100%
2017-03-01,177135,1%
2017-04-01,198756,35%
2017-05-01,211737,32%
2017-06-01,212115,100%
2017-07-01,231541,69%
2017-08-01,234859,32%
2017-09-01,234059,100%
2017-10-01,241557,1%
2017-11-01,241770,99%
2017-12-01,280384,61%
2018-01-01,289014,8%
2018-02-01,289654,0%
2018-03-01,309289,36%
2018-04-01,308877,100%
2018-05-01,306649,100%
2018-06-01,310440,100%
2018-07-01,311688,100%
2018-08-01,338721,62%
