Date,Value,Percent Stock
2008-06-01,9974.000000,54
2008-07-01,9501.000000,100
2008-08-01,9686.000000,100
2008-09-01,9708.000000,100
2008-10-01,8904.000000,0
2008-11-01,8904.000000,0
2008-12-01,8891.000000,100
2009-01-01,9179.000000,100
2009-02-01,9052.000000,42
2009-03-01,8506.000000,100
2009-04-01,9841.000000,100
2009-05-01,10434.000000,3
2009-06-01,10446.000000,3
2009-07-01,11760.000000,32
2009-08-01,12336.000000,13
2009-09-01,12372.000000,0
2009-10-01,12372.000000,0
2009-11-01,12501.000000,14
2009-12-01,12583.000000,15
2010-01-01,12606.000000,15
2010-02-01,12605.000000,0
2010-03-01,12605.000000,0
2010-04-01,12609.000000,0
2010-05-01,12608.000000,0
2010-06-01,12716.000000,0
2010-07-01,12717.000000,99
2010-08-01,14977.000000,49
2010-09-01,14930.000000,49
2010-10-01,15592.000000,83
2010-11-01,16765.000000,27
2010-12-01,18291.000000,38
2011-01-01,19900.000000,49
2011-02-01,20249.000000,1
2011-03-01,20250.000000,1
2011-04-01,20251.000000,1
2011-05-01,20252.000000,1
2011-06-01,20356.000000,1
2011-07-01,20781.000000,43
2011-08-01,20864.000000,16
2011-09-01,20772.000000,30
2011-10-01,20582.000000,100
2011-11-01,23040.000000,10
2011-12-01,26637.000000,18
2012-01-01,27395.000000,85
2012-02-01,31943.000000,71
2012-03-01,32417.000000,3
2012-04-01,32430.000000,3
2012-05-01,35020.000000,37
2012-06-01,34677.000000,84
2012-07-01,36154.000000,0
2012-08-01,38777.000000,46
2012-09-01,42171.000000,37
2012-10-01,44437.000000,22
2012-11-01,45717.000000,72
2012-12-01,47560.000000,20
2013-01-01,48830.000000,71
2013-02-01,52193.000000,38
2013-03-01,53579.000000,65
2013-04-01,55474.000000,31
2013-05-01,57561.000000,18
2013-06-01,57737.000000,18
2013-07-01,60175.000000,47
2013-08-01,62775.000000,11
2013-09-01,65733.000000,36
2013-10-01,66310.000000,36
2013-11-01,67129.000000,37
2013-12-01,67582.000000,0
2014-01-01,70236.000000,29
2014-02-01,70788.000000,45
2014-03-01,75687.000000,26
2014-04-01,76595.000000,54
2014-05-01,78400.000000,91
2014-06-01,80370.000000,7
2014-07-01,82846.000000,75
2014-08-01,86742.000000,35
2014-09-01,89670.000000,18
2014-10-01,91306.000000,38
2014-11-01,94063.000000,15
2014-12-01,94517.000000,41
2015-01-01,94598.000000,1
2015-02-01,96032.000000,94
2015-03-01,111721.000000,62
2015-04-01,113113.000000,84
2015-05-01,116435.000000,69
2015-06-01,128536.000000,47
2015-07-01,139186.000000,41
2015-08-01,142256.000000,78
2015-09-01,136793.000000,90
2015-10-01,134846.000000,100
2015-11-01,148693.000000,55
2015-12-01,148010.000000,99
2016-01-01,146506.000000,99
2016-02-01,139826.000000,99
2016-03-01,147706.000000,70
2016-04-01,161176.000000,49
2016-05-01,162520.000000,49
2016-06-01,169153.000000,79
2016-07-01,175672.000000,64
2016-08-01,180096.000000,53
2016-09-01,181239.000000,53
2016-10-01,182185.000000,64
2016-11-01,180658.000000,100
2016-12-01,194232.000000,37
2017-01-01,196128.000000,1
2017-02-01,196291.000000,99
2017-03-01,212692.000000,23
2017-04-01,220883.000000,76
2017-05-01,220691.000000,0
2017-06-01,251352.000000,9
2017-07-01,271596.000000,39
2017-08-01,287348.000000,33
2017-09-01,292151.000000,89
2017-10-01,327769.000000,73
2017-11-01,329742.000000,73
2017-12-01,336322.000000,32
2018-01-01,366824.000000,40
2018-02-01,373752.000000,5
2018-03-01,373118.000000,99
2018-04-01,408943.000000,49
2018-05-01,440519.000000,55
2018-06-01,462450.000000,76
2018-07-01,463871.000000,76
2018-08-01,473321.000000,0
