Date,Value,Percent Stock
2008-06-01,9974.000000,22
2008-07-01,9773.000000,100
2008-08-01,11116.000000,72
2008-09-01,11813.000000,47
2008-10-01,11355.000000,82
2008-11-01,10271.000000,100
2008-12-01,9613.000000,100
2009-01-01,9907.000000,100
2009-02-01,8950.000000,100
2009-03-01,7787.000000,100
2009-04-01,8874.000000,100
2009-05-01,9779.000000,32
2009-06-01,9861.000000,100
2009-07-01,10216.000000,49
2009-08-01,11352.000000,32
2009-09-01,11463.000000,99
2009-10-01,12066.000000,56
2009-11-01,12106.000000,99
2009-12-01,12688.000000,2
2010-01-01,13276.000000,74
2010-02-01,13014.000000,0
2010-03-01,13014.000000,0
2010-04-01,13014.000000,0
2010-05-01,13002.000000,100
2010-06-01,12161.000000,100
2010-07-01,11682.000000,100
2010-08-01,13378.000000,32
2010-09-01,13572.000000,89
2010-10-01,14221.000000,42
2010-11-01,14653.000000,81
2010-12-01,15383.000000,63
2011-01-01,15850.000000,33
2011-02-01,16522.000000,52
2011-03-01,16932.000000,42
2011-04-01,17061.000000,35
2011-05-01,17171.000000,36
2011-06-01,16962.000000,35
2011-07-01,17200.000000,97
2011-08-01,15977.000000,97
2011-09-01,15248.000000,96
2011-10-01,14833.000000,96
2011-11-01,16197.000000,97
2011-12-01,16030.000000,97
2012-01-01,16408.000000,97
2012-02-01,17556.000000,79
2012-03-01,18757.000000,28
2012-04-01,20321.000000,41
2012-05-01,20445.000000,32
2012-06-01,20057.000000,100
2012-07-01,21091.000000,1
2012-08-01,24756.000000,11
2012-09-01,26881.000000,53
2012-10-01,27242.000000,54
2012-11-01,27102.000000,54
2012-12-01,28933.000000,61
2013-01-01,30901.000000,31
2013-02-01,31800.000000,8
2013-03-01,31817.000000,9
2013-04-01,31871.000000,9
2013-05-01,31931.000000,0
2013-06-01,31932.000000,0
2013-07-01,31932.000000,0
2013-08-01,32257.000000,0
2013-09-01,32393.000000,0
2013-10-01,32394.000000,0
2013-11-01,32445.000000,0
2013-12-01,32446.000000,0
2014-01-01,32594.000000,0
2014-02-01,32766.000000,0
2014-03-01,32908.000000,0
2014-04-01,32910.000000,0
2014-05-01,32910.000000,0
2014-06-01,32959.000000,0
2014-07-01,32961.000000,0
2014-08-01,34402.000000,10
2014-09-01,35293.000000,21
2014-10-01,35136.000000,0
2014-11-01,35186.000000,0
2014-12-01,35187.000000,0
2015-01-01,35259.000000,0
2015-02-01,35432.000000,0
2015-03-01,35574.000000,0
2015-04-01,36484.000000,27
2015-05-01,37210.000000,38
2015-06-01,38763.000000,19
2015-07-01,38775.000000,60
2015-08-01,40955.000000,45
2015-09-01,40564.000000,71
2015-10-01,40080.000000,100
2015-11-01,44279.000000,60
2015-12-01,43970.000000,100
2016-01-01,45605.000000,80
2016-02-01,43952.000000,100
2016-03-01,45686.000000,100
2016-04-01,47006.000000,100
2016-05-01,49611.000000,18
2016-06-01,52973.000000,62
2016-07-01,55302.000000,76
2016-08-01,57440.000000,55
2016-09-01,59994.000000,20
2016-10-01,59942.000000,99
2016-11-01,59132.000000,99
2016-12-01,64132.000000,12
2017-01-01,64300.000000,0
2017-02-01,64300.000000,0
2017-03-01,64300.000000,0
2017-04-01,64300.000000,0
2017-05-01,70661.000000,45
2017-06-01,74362.000000,24
2017-07-01,75603.000000,4
2017-08-01,75643.000000,4
2017-09-01,77131.000000,21
2017-10-01,77632.000000,22
2017-11-01,80610.000000,39
2017-12-01,81590.000000,40
2018-01-01,85250.000000,19
2018-02-01,85650.000000,0
2018-03-01,89006.000000,10
2018-04-01,92055.000000,41
2018-05-01,91782.000000,41
2018-06-01,92233.000000,100
2018-07-01,92605.000000,100
2018-08-01,95521.000000,13
