Date,Value,Percent Stock
2008-06-01,9987.000000,100
2008-07-01,9135.000000,100
2008-08-01,10942.000000,70
2008-09-01,11876.000000,36
2008-10-01,11625.000000,95
2008-11-01,10359.000000,94
2008-12-01,9740.000000,93
2009-01-01,10985.000000,68
2009-02-01,10254.000000,100
2009-03-01,8894.000000,100
2009-04-01,10152.000000,0
2009-05-01,10152.000000,0
2009-06-01,10152.000000,0
2009-07-01,10152.000000,0
2009-08-01,10152.000000,0
2009-09-01,10152.000000,0
2009-10-01,10314.000000,0
2009-11-01,10314.000000,0
2009-12-01,10314.000000,0
2010-01-01,10314.000000,0
2010-02-01,11695.000000,29
2010-03-01,11834.000000,30
2010-04-01,11982.000000,0
2010-05-01,12675.000000,26
2010-06-01,12451.000000,100
2010-07-01,11953.000000,100
2010-08-01,12803.000000,100
2010-09-01,12720.000000,100
2010-10-01,14616.000000,77
2010-11-01,14999.000000,98
2010-12-01,15678.000000,43
2011-01-01,15957.000000,1
2011-02-01,15962.000000,1
2011-03-01,15964.000000,1
2011-04-01,15965.000000,1
2011-05-01,15970.000000,1
2011-06-01,16927.000000,15
2011-07-01,17469.000000,38
2011-08-01,17014.000000,100
2011-09-01,16214.000000,100
2011-10-01,15764.000000,100
2011-11-01,17372.000000,17
2011-12-01,17329.000000,100
2012-01-01,19609.000000,64
2012-02-01,20299.000000,1
2012-03-01,20301.000000,1
2012-04-01,20304.000000,1
2012-05-01,20301.000000,1
2012-06-01,20293.000000,99
2012-07-01,21981.000000,16
2012-08-01,22059.000000,1
2012-09-01,22061.000000,1
2012-10-01,22065.000000,1
2012-11-01,22064.000000,1
2012-12-01,22064.000000,1
2013-01-01,22360.000000,1
2013-02-01,22427.000000,1
2013-03-01,22428.000000,1
2013-04-01,22432.000000,1
2013-05-01,22437.000000,1
2013-06-01,22443.000000,1
2013-07-01,22441.000000,1
2013-08-01,22742.000000,1
2013-09-01,22793.000000,1
2013-10-01,22796.000000,1
2013-11-01,22804.000000,1
2013-12-01,22808.000000,1
2014-01-01,23103.000000,1
2014-02-01,23157.000000,1
2014-03-01,23163.000000,1
2014-04-01,23168.000000,1
2014-05-01,23170.000000,1
2014-06-01,23173.000000,1
2014-07-01,23179.000000,1
2014-08-01,23465.000000,1
2014-09-01,23531.000000,1
2014-10-01,23526.000000,1
2014-11-01,23534.000000,1
2014-12-01,23538.000000,1
2015-01-01,23829.000000,1
2015-02-01,23884.000000,1
2015-03-01,23890.000000,1
2015-04-01,23886.000000,1
2015-05-01,23890.000000,1
2015-06-01,23891.000000,1
2015-07-01,23889.000000,1
2015-08-01,26831.000000,11
2015-09-01,26746.000000,99
2015-10-01,26311.000000,99
2015-11-01,30508.000000,52
2015-12-01,30333.000000,51
2016-01-01,32234.000000,62
2016-02-01,31341.000000,100
2016-03-01,32581.000000,100
2016-04-01,33558.000000,48
2016-05-01,33867.000000,1
2016-06-01,36253.000000,12
2016-07-01,36255.000000,0
2016-08-01,36255.000000,0
2016-09-01,36255.000000,0
2016-10-01,36535.000000,0
2016-11-01,36729.000000,0
2016-12-01,36729.000000,0
2017-01-01,36833.000000,0
2017-02-01,36833.000000,0
2017-03-01,36833.000000,0
2017-04-01,36832.000000,0
2017-05-01,37112.000000,0
2017-06-01,39207.000000,15
2017-07-01,39566.000000,4
2017-08-01,39692.000000,4
2017-09-01,41050.000000,15
2017-10-01,41388.000000,0
2017-11-01,41581.000000,0
2017-12-01,41583.000000,0
2018-01-01,41790.000000,0
2018-02-01,41792.000000,0
2018-03-01,42448.000000,76
2018-04-01,42319.000000,100
2018-05-01,42519.000000,81
2018-06-01,49197.000000,64
2018-07-01,49299.000000,65
2018-08-01,50153.000000,0
