Date,Value,Percent Stock
2008-06-01,9974.000000,89
2008-07-01,9204.000000,100
2008-08-01,10804.000000,62
2008-09-01,12032.000000,47
2008-10-01,11555.000000,100
2008-11-01,11132.000000,77
2008-12-01,10570.000000,100
2009-01-01,10893.000000,100
2009-02-01,9842.000000,100
2009-03-01,8565.000000,100
2009-04-01,9758.000000,100
2009-05-01,11369.000000,32
2009-06-01,12390.000000,26
2009-07-01,13259.000000,57
2009-08-01,13975.000000,0
2009-09-01,13975.000000,0
2009-10-01,13975.000000,0
2009-11-01,15335.000000,17
2009-12-01,15479.000000,1
2010-01-01,15823.000000,15
2010-02-01,15893.000000,3
2010-03-01,15910.000000,3
2010-04-01,15930.000000,3
2010-05-01,15927.000000,3
2010-06-01,16046.000000,29
2010-07-01,17007.000000,60
2010-08-01,17870.000000,7
2010-09-01,18815.000000,72
2010-10-01,21271.000000,56
2010-11-01,21686.000000,3
2010-12-01,22032.000000,57
2011-01-01,22698.000000,6
2011-02-01,22814.000000,6
2011-03-01,22834.000000,6
2011-04-01,22847.000000,7
2011-05-01,22905.000000,7
2011-06-01,24928.000000,15
2011-07-01,25959.000000,43
2011-08-01,25218.000000,0
2011-09-01,25275.000000,100
2011-10-01,24561.000000,100
2011-11-01,29658.000000,50
2011-12-01,29543.000000,99
2012-01-01,31531.000000,69
2012-02-01,33270.000000,57
2012-03-01,36065.000000,41
2012-04-01,38408.000000,33
2012-05-01,38679.000000,44
2012-06-01,37711.000000,99
2012-07-01,42944.000000,79
2012-08-01,45026.000000,56
2012-09-01,47238.000000,66
2012-10-01,49191.000000,86
2012-11-01,49068.000000,64
2012-12-01,49088.000000,64
2013-01-01,50738.000000,92
2013-02-01,53432.000000,6
2013-03-01,53451.000000,6
2013-04-01,53512.000000,6
2013-05-01,61897.000000,15
2013-06-01,62032.000000,16
2013-07-01,69900.000000,27
2013-08-01,71314.000000,4
2013-09-01,73496.000000,33
2013-10-01,79476.000000,57
2013-11-01,81004.000000,58
2013-12-01,84184.000000,18
2014-01-01,85170.000000,63
2014-02-01,87813.000000,73
2014-03-01,91753.000000,85
2014-04-01,93743.000000,98
2014-05-01,96311.000000,81
2014-06-01,97324.000000,82
2014-07-01,98939.000000,82
2014-08-01,97500.000000,99
2014-09-01,106769.000000,46
2014-10-01,106024.000000,97
2014-11-01,114297.000000,53
2014-12-01,122914.000000,61
2015-01-01,123515.000000,97
2015-02-01,124587.000000,85
2015-03-01,127096.000000,85
2015-04-01,134285.000000,61
2015-05-01,142230.000000,53
2015-06-01,145338.000000,27
2015-07-01,147562.000000,60
2015-08-01,147419.000000,60
2015-09-01,142761.000000,100
2015-10-01,140395.000000,100
2015-11-01,151610.000000,48
2015-12-01,154852.000000,83
2016-01-01,153597.000000,100
2016-02-01,146702.000000,100
2016-03-01,152476.000000,100
2016-04-01,159025.000000,81
2016-05-01,161224.000000,81
2016-06-01,162678.000000,100
2016-07-01,163311.000000,100
2016-08-01,170006.000000,60
2016-09-01,174206.000000,87
2016-10-01,173000.000000,100
2016-11-01,170612.000000,100
2016-12-01,189365.000000,72
2017-01-01,193542.000000,9
2017-02-01,197452.000000,88
2017-03-01,211646.000000,22
2017-04-01,213830.000000,83
2017-05-01,232515.000000,60
2017-06-01,233027.000000,100
2017-07-01,234374.000000,100
2017-08-01,237328.000000,100
2017-09-01,234818.000000,100
2017-10-01,256207.000000,83
2017-11-01,257969.000000,83
2017-12-01,279228.000000,47
2018-01-01,286911.000000,24
2018-02-01,289897.000000,3
2018-03-01,309541.000000,52
2018-04-01,308948.000000,100
2018-05-01,306717.000000,100
2018-06-01,334104.000000,81
2018-07-01,335202.000000,82
2018-08-01,363235.000000,30
