Date,Value,Percent Stock
2008-06-01,9987.000000,100
2008-07-01,9135.000000,100
2008-08-01,9311.000000,100
2008-09-01,9332.000000,100
2008-10-01,8582.000000,99
2008-11-01,7626.000000,99
2008-12-01,7160.000000,99
2009-01-01,7368.000000,99
2009-02-01,6689.000000,99
2009-03-01,5863.000000,99
2009-04-01,6635.000000,99
2009-05-01,6943.000000,0
2009-06-01,6943.000000,0
2009-07-01,8045.000000,18
2009-08-01,8173.000000,0
2009-09-01,8173.000000,0
2009-10-01,8714.000000,63
2009-11-01,9301.000000,28
2009-12-01,9801.000000,77
2010-01-01,9893.000000,77
2010-02-01,9686.000000,100
2010-03-01,10084.000000,100
2010-04-01,10845.000000,44
2010-05-01,11106.000000,16
2010-06-01,10978.000000,99
2010-07-01,10539.000000,99
2010-08-01,11289.000000,99
2010-09-01,11216.000000,99
2010-10-01,11559.000000,99
2010-11-01,11933.000000,99
2010-12-01,11997.000000,99
2011-01-01,12502.000000,99
2011-02-01,12916.000000,100
2011-03-01,14799.000000,70
2011-04-01,15155.000000,90
2011-05-01,15327.000000,3
2011-06-01,15318.000000,99
2011-07-01,15599.000000,99
2011-08-01,14484.000000,99
2011-09-01,13814.000000,99
2011-10-01,13436.000000,99
2011-11-01,14677.000000,99
2011-12-01,14526.000000,99
2012-01-01,14869.000000,99
2012-02-01,18317.000000,75
2012-03-01,20408.000000,49
2012-04-01,20569.000000,1
2012-05-01,20689.000000,54
2012-06-01,20029.000000,100
2012-07-01,23227.000000,47
2012-08-01,23422.000000,47
2012-09-01,25461.000000,55
2012-10-01,27579.000000,62
2012-11-01,28588.000000,22
2012-12-01,29334.000000,54
2013-01-01,29966.000000,99
2013-02-01,31542.000000,4
2013-03-01,31550.000000,4
2013-04-01,31576.000000,4
2013-05-01,31619.000000,4
2013-06-01,31643.000000,4
2013-07-01,31635.000000,4
2013-08-01,31707.000000,5
2013-09-01,32131.000000,4
2013-10-01,37635.000000,13
2013-11-01,42603.000000,32
2013-12-01,42843.000000,0
2014-01-01,45385.000000,13
2014-02-01,46532.000000,31
2014-03-01,47317.000000,31
2014-04-01,50243.000000,47
2014-05-01,50408.000000,47
2014-06-01,50711.000000,0
2014-07-01,55158.000000,41
2014-08-01,55357.000000,93
2014-09-01,56855.000000,1
2014-10-01,59628.000000,66
2014-11-01,60887.000000,1
2014-12-01,66974.000000,20
2015-01-01,71069.000000,46
2015-02-01,70520.000000,45
2015-03-01,71267.000000,46
2015-04-01,73106.000000,84
2015-05-01,76348.000000,59
2015-06-01,79030.000000,16
2015-07-01,79045.000000,86
2015-08-01,78923.000000,100
2015-09-01,74622.000000,100
2015-10-01,73420.000000,100
2015-11-01,86674.000000,63
2015-12-01,86079.000000,100
2016-01-01,85189.000000,100
2016-02-01,81357.000000,100
2016-03-01,84566.000000,100
2016-04-01,87014.000000,100
2016-05-01,88513.000000,100
2016-06-01,89509.000000,100
2016-07-01,89879.000000,100
2016-08-01,92025.000000,89
2016-09-01,92628.000000,100
2016-10-01,91885.000000,100
2016-11-01,90586.000000,100
2016-12-01,96465.000000,100
2017-01-01,99069.000000,2
2017-02-01,102511.000000,80
2017-03-01,105707.000000,1
2017-04-01,112772.000000,47
2017-05-01,122164.000000,40
2017-06-01,122397.000000,100
2017-07-01,123102.000000,100
2017-08-01,124653.000000,100
2017-09-01,123347.000000,100
2017-10-01,136011.000000,70
2017-11-01,136840.000000,99
2017-12-01,142111.000000,77
2018-01-01,148627.000000,13
2018-02-01,149126.000000,0
2018-03-01,153828.000000,81
2018-04-01,153363.000000,100
2018-05-01,152253.000000,100
2018-06-01,154141.000000,100
2018-07-01,154762.000000,100
2018-08-01,165510.000000,21
