Date,Value,Percent Stock
2008-06-01,9987.000000,100
2008-07-01,9135.000000,100
2008-08-01,9311.000000,100
2008-09-01,9332.000000,100
2008-10-01,8582.000000,99
2008-11-01,7626.000000,99
2008-12-01,7160.000000,99
2009-01-01,7368.000000,99
2009-02-01,6689.000000,99
2009-03-01,5863.000000,99
2009-04-01,8288.000000,64
2009-05-01,9858.000000,44
2009-06-01,10765.000000,25
2009-07-01,11229.000000,34
2009-08-01,11751.000000,8
2009-09-01,11779.000000,8
2009-10-01,11857.000000,39
2009-11-01,11943.000000,39
2009-12-01,12624.000000,73
2010-01-01,12737.000000,73
2010-02-01,12486.000000,100
2010-03-01,13000.000000,100
2010-04-01,13862.000000,83
2010-05-01,13795.000000,99
2010-06-01,12891.000000,99
2010-07-01,12382.000000,99
2010-08-01,13266.000000,99
2010-09-01,13180.000000,99
2010-10-01,13599.000000,99
2010-11-01,14043.000000,99
2010-12-01,14143.000000,99
2011-01-01,15210.000000,84
2011-02-01,15664.000000,85
2011-03-01,16041.000000,70
2011-04-01,16146.000000,70
2011-05-01,16413.000000,24
2011-06-01,16297.000000,99
2011-07-01,16599.000000,99
2011-08-01,15403.000000,98
2011-09-01,14681.000000,98
2011-10-01,14274.000000,98
2011-11-01,15609.000000,98
2011-12-01,15446.000000,98
2012-01-01,15815.000000,99
2012-02-01,19076.000000,65
2012-03-01,19256.000000,66
2012-04-01,20159.000000,19
2012-05-01,20245.000000,75
2012-06-01,19349.000000,100
2012-07-01,20345.000000,100
2012-08-01,20767.000000,84
2012-09-01,21648.000000,70
2012-10-01,24262.000000,49
2012-11-01,24149.000000,49
2012-12-01,24318.000000,82
2013-01-01,24905.000000,82
2013-02-01,26648.000000,16
2013-03-01,29377.000000,31
2013-04-01,31876.000000,44
2013-05-01,32966.000000,14
2013-06-01,33035.000000,0
2013-07-01,35277.000000,49
2013-08-01,38487.000000,33
2013-09-01,38240.000000,32
2013-10-01,38548.000000,48
2013-11-01,39553.000000,38
2013-12-01,39849.000000,1
2014-01-01,39852.000000,1
2014-02-01,41515.000000,21
2014-03-01,42949.000000,13
2014-04-01,43070.000000,13
2014-05-01,43097.000000,1
2014-06-01,43168.000000,1
2014-07-01,43300.000000,1
2014-08-01,43416.000000,39
2014-09-01,44153.000000,60
2014-10-01,46890.000000,35
2014-11-01,50353.000000,31
2014-12-01,50638.000000,31
2015-01-01,52934.000000,22
2015-02-01,53179.000000,56
2015-03-01,55371.000000,15
2015-04-01,56419.000000,72
2015-05-01,57064.000000,72
2015-06-01,57378.000000,72
2015-07-01,58547.000000,83
2015-08-01,58674.000000,98
2015-09-01,55500.000000,98
2015-10-01,54614.000000,98
2015-11-01,58104.000000,98
2015-12-01,57470.000000,98
2016-01-01,56887.000000,98
2016-02-01,54376.000000,98
2016-03-01,56478.000000,98
2016-04-01,58090.000000,98
2016-05-01,63789.000000,76
2016-06-01,64493.000000,99
2016-07-01,66976.000000,70
2016-08-01,68401.000000,17
2016-09-01,73490.000000,36
2016-10-01,76824.000000,50
2016-11-01,78646.000000,81
2016-12-01,84151.000000,31
2017-01-01,84937.000000,0
2017-02-01,84938.000000,0
2017-03-01,84941.000000,0
2017-04-01,90542.000000,49
2017-05-01,92135.000000,88
2017-06-01,92423.000000,100
2017-07-01,92957.000000,100
2017-08-01,101149.000000,80
2017-09-01,100295.000000,100
2017-10-01,104213.000000,83
2017-11-01,104930.000000,84
2017-12-01,107033.000000,84
2018-01-01,112319.000000,58
2018-02-01,116461.000000,12
2018-03-01,115676.000000,99
2018-04-01,115311.000000,99
2018-05-01,114475.000000,99
2018-06-01,115900.000000,99
2018-07-01,116369.000000,99
2018-08-01,133001.000000,48
