DATE,IPMAN
1972-01-01,36.6885
1972-02-01,36.9473
1972-03-01,37.1956
1972-04-01,37.6443
1972-05-01,37.6821
1972-06-01,37.8030
1972-07-01,37.8150
1972-08-01,38.3044
1972-09-01,38.5766
1972-10-01,39.1681
1972-11-01,39.6698
1972-12-01,40.2569
1973-01-01,40.5288
1973-02-01,41.1939
1973-03-01,41.2752
1973-04-01,41.2199
1973-05-01,41.4835
1973-06-01,41.4700
1973-07-01,41.6763
1973-08-01,41.5499
1973-09-01,41.9429
1973-10-01,42.2935
1973-11-01,42.6183
1973-12-01,42.6464
1974-01-01,42.2738
1974-02-01,42.0897
1974-03-01,42.0833
1974-04-01,41.8771
1974-05-01,42.1727
1974-06-01,42.2289
1974-07-01,42.1478
1974-08-01,41.7934
1974-09-01,41.8660
1974-10-01,41.5419
1974-11-01,40.2621
1974-12-01,38.4314
1975-01-01,37.6199
1975-02-01,36.5509
1975-03-01,36.0599
1975-04-01,36.0219
1975-05-01,35.9771
1975-06-01,36.2869
1975-07-01,36.7903
1975-08-01,37.2005
1975-09-01,37.8272
1975-10-01,38.0388
1975-11-01,38.1556
1975-12-01,38.6401
1976-01-01,39.1749
1976-02-01,39.7842
1976-03-01,39.8568
1976-04-01,40.0920
1976-05-01,40.3193
1976-06-01,40.3264
1976-07-01,40.6254
1976-08-01,40.8918
1976-09-01,40.9747
1976-10-01,40.9451
1976-11-01,41.4729
1976-12-01,41.9122
1977-01-01,41.8213
1977-02-01,42.5684
1977-03-01,43.1845
1977-04-01,43.6097
1977-05-01,43.9957
1977-06-01,44.3673
1977-07-01,44.3778
1977-08-01,44.5813
1977-09-01,44.6235
1977-10-01,44.7378
1977-11-01,44.8235
1977-12-01,45.3219
1978-01-01,44.6594
1978-02-01,44.7995
1978-03-01,45.5832
1978-04-01,46.3502
1978-05-01,46.5180
1978-06-01,46.8928
1978-07-01,46.8671
1978-08-01,47.1181
1978-09-01,47.3692
1978-10-01,47.7195
1978-11-01,48.1609
1978-12-01,48.5272
1979-01-01,48.1214
1979-02-01,48.2900
1979-03-01,48.5250
1979-04-01,47.7407
1979-05-01,48.3631
1979-06-01,48.4128
1979-07-01,48.4596
1979-08-01,47.8100
1979-09-01,47.9367
1979-10-01,48.1119
1979-11-01,47.9643
1979-12-01,48.1553
1980-01-01,48.3599
1980-02-01,48.2710
1980-03-01,47.9141
1980-04-01,46.8837
1980-05-01,45.4268
1980-06-01,44.7079
1980-07-01,44.1728
1980-08-01,44.5267
1980-09-01,45.2736
1980-10-01,46.1351
1980-11-01,47.0080
1980-12-01,47.1223
1981-01-01,46.9791
1981-02-01,46.7173
1981-03-01,46.8745
1981-04-01,47.1163
1981-05-01,47.3397
1981-06-01,47.0871
1981-07-01,47.1944
1981-08-01,47.2285
1981-09-01,46.9975
1981-10-01,46.5645
1981-11-01,45.9620
1981-12-01,45.1463
1982-01-01,44.0597
1982-02-01,45.2843
1982-03-01,44.8909
1982-04-01,44.5876
1982-05-01,44.5021
1982-06-01,44.4250
1982-07-01,44.3812
1982-08-01,43.9711
1982-09-01,43.8589
1982-10-01,43.3283
1982-11-01,43.0294
1982-12-01,42.8744
1983-01-01,43.9324
1983-02-01,43.9072
1983-03-01,44.3216
1983-04-01,44.8509
1983-05-01,45.4329
1983-06-01,45.8053
1983-07-01,46.5090
1983-08-01,46.8632
1983-09-01,47.7983
