DATE,M3SL
1959-01-01,288.8
1959-02-01,289.9
1959-03-01,291.4
1959-04-01,292.3
1959-05-01,294.4
1959-06-01,296.3
1959-07-01,297.4
1959-08-01,298.5
1959-09-01,298.8
1959-10-01,298.5
1959-11-01,299.1
1959-12-01,299.7
1960-01-01,300.1
1960-02-01,300.4
1960-03-01,301.4
1960-04-01,302.2
1960-05-01,303.0
1960-06-01,304.5
1960-07-01,306.4
1960-08-01,309.3
1960-09-01,311.0
1960-10-01,312.2
1960-11-01,313.6
1960-12-01,315.2
1961-01-01,317.1
1961-02-01,319.9
1961-03-01,321.9
1961-04-01,323.8
1961-05-01,326.5
1961-06-01,328.9
1961-07-01,330.5
1961-08-01,332.7
1961-09-01,334.8
1961-10-01,336.5
1961-11-01,338.8
1961-12-01,340.8
1962-01-01,343.0
1962-02-01,346.1
1962-03-01,349.4
1962-04-01,352.1
1962-05-01,354.2
1962-06-01,356.3
1962-07-01,358.0
1962-08-01,360.1
1962-09-01,362.5
1962-10-01,365.1
1962-11-01,368.0
1962-12-01,371.3
1963-01-01,374.2
1963-02-01,377.2
1963-03-01,380.2
1963-04-01,383.1
1963-05-01,386.2
1963-06-01,388.8
1963-07-01,391.5
1963-08-01,394.5
1963-09-01,397.3
1963-10-01,400.0
1963-11-01,403.8
1963-12-01,405.9
1964-01-01,408.5
1964-02-01,411.3
1964-03-01,413.6
1964-04-01,415.8
1964-05-01,418.9
1964-06-01,422.1
1964-07-01,425.5
1964-08-01,429.2
1964-09-01,433.0
1964-10-01,435.9
1964-11-01,439.3
1964-12-01,442.4
1965-01-01,445.8
1965-02-01,449.1
1965-03-01,452.0
1965-04-01,454.5
1965-05-01,456.4
1965-06-01,459.9
1965-07-01,463.3
1965-08-01,466.8
1965-09-01,471.1
1965-10-01,474.9
1965-11-01,478.3
1965-12-01,482.1
1966-01-01,485.1
1966-02-01,487.8
1966-03-01,490.8
1966-04-01,494.0
1966-05-01,495.4
1966-06-01,497.1
1966-07-01,497.8
1966-08-01,499.6
1966-09-01,502.3
1966-10-01,501.4
1966-11-01,502.0
1966-12-01,505.4
1967-01-01,509.1
1967-02-01,514.5
1967-03-01,519.9
