DATE,REVOLSL
1968-01-01,1.3168
1968-02-01,1.3588
1968-03-01,1.4128
1968-04-01,1.4777
1968-05-01,1.5384
1968-06-01,1.6145
1968-07-01,1.6857
1968-08-01,1.7691
1968-09-01,1.8397
1968-10-01,1.9551
1968-11-01,1.9972
1968-12-01,2.0415
1969-01-01,2.1375
1969-02-01,2.2163
1969-03-01,2.3077
1969-04-01,2.4386
1969-05-01,2.5937
1969-06-01,2.7280
1969-07-01,2.8637
1969-08-01,2.9972
1969-09-01,3.1590
1969-10-01,3.3269
1969-11-01,3.4640
1969-12-01,3.6048
1970-01-01,3.6932
1970-02-01,3.8026
1970-03-01,3.9081
1970-04-01,4.0335
1970-05-01,4.1379
1970-06-01,4.2801
1970-07-01,4.4229
1970-08-01,4.5424
1970-09-01,4.6867
1970-10-01,4.8359
1970-11-01,4.9150
1970-12-01,4.9615
1971-01-01,7.1690
1971-02-01,7.2329
1971-03-01,7.2976
1971-04-01,7.4599
1971-05-01,7.6420
1971-06-01,7.7399
1971-07-01,7.9009
1971-08-01,8.0448
1971-09-01,8.2308
1971-10-01,8.3136
1971-11-01,8.3059
1971-12-01,8.2453
1972-01-01,8.0920
1972-02-01,8.0938
1972-03-01,8.2353
1972-04-01,8.4280
1972-05-01,8.5783
1972-06-01,8.7857
1972-07-01,8.9580
1972-08-01,9.1332
1972-09-01,9.3077
1972-10-01,9.3901
1972-11-01,9.4018
1972-12-01,9.3792
1973-01-01,9.3809
1973-02-01,9.5057
1973-03-01,9.6557
1973-04-01,9.8249
1973-05-01,10.0437
1973-06-01,10.3471
1973-07-01,10.5307
1973-08-01,10.8008
1973-09-01,10.9336
1973-10-01,11.1877
1973-11-01,11.3623
1973-12-01,11.3422
1974-01-01,11.3268
1974-02-01,11.3264
1974-03-01,11.3770
1974-04-01,11.5824
1974-05-01,11.9525
1974-06-01,12.2896
1974-07-01,12.6517
1974-08-01,13.0267
1974-09-01,13.2509
1974-10-01,13.5307
1974-11-01,13.5756
1974-12-01,13.2413
1975-01-01,13.2749
1975-02-01,13.2216
1975-03-01,13.1779
1975-04-01,13.3426
1975-05-01,13.4539
1975-06-01,13.5910
1975-07-01,13.8857
1975-08-01,14.1676
1975-09-01,14.4906
1975-10-01,14.8110
1975-11-01,14.7032
1975-12-01,14.4953
1976-01-01,14.4326
1976-02-01,14.3504
1976-03-01,14.3141
1976-04-01,14.5960
1976-05-01,14.8015
1976-06-01,15.0858
1976-07-01,15.5854
1976-08-01,15.9005
1976-09-01,16.3529
1976-10-01,16.7472
1976-11-01,16.7056
1976-12-01,16.4891
1977-01-01,30.6836
1977-02-01,30.5339
1977-03-01,30.9979
1977-04-01,31.8177
1977-05-01,32.6853
1977-06-01,33.4300
1977-07-01,33.9669
1977-08-01,34.6058
1977-09-01,35.3738
1977-10-01,36.4737
1977-11-01,36.9792
1977-12-01,37.4148
1978-01-01,36.9246
1978-02-01,36.8942
1978-03-01,37.4792
1978-04-01,38.3430
1978-05-01,39.3512
1978-06-01,40.5470
1978-07-01,41.5351
1978-08-01,42.4819
1978-09-01,43.5104
1978-10-01,44.4451
1978-11-01,45.0407
1978-12-01,45.6910
1979-01-01,45.5880
1979-02-01,45.8071
1979-03-01,46.3697
1979-04-01,47.3900
1979-05-01,48.5204
1979-06-01,49.4053
1979-07-01,50.1306
1979-08-01,51.2715
1979-09-01,52.0762
1979-10-01,53.1807
1979-11-01,53.9150
1979-12-01,53.5964
1980-01-01,53.7498
1980-02-01,54.1291
1980-03-01,54.1391
1980-04-01,53.9600
1980-05-01,53.9828
1980-06-01,53.7841
1980-07-01,54.0516
1980-08-01,54.4141
1980-09-01,54.3913
1980-10-01,54.3573
1980-11-01,54.4459
1980-12-01,54.9701
1981-01-01,55.4912
1981-02-01,55.8114
1981-03-01,56.2822
1981-04-01,57.1253
1981-05-01,57.7672
1981-06-01,58.7420
1981-07-01,59.0447
1981-08-01,59.2992
1981-09-01,60.1948
1981-10-01,60.6274
1981-11-01,60.7574
