DATE,TASACBW027SBOG
1973-01-03,90.4460
1973-01-10,90.0960
1973-01-17,90.2150
1973-01-24,89.3620
1973-01-31,90.0110
1973-02-07,88.2570
1973-02-14,87.3380
1973-02-21,85.3930
1973-02-28,85.3270
1973-03-07,85.1180
1973-03-14,85.0850
1973-03-21,85.2300
1973-03-28,85.4150
1973-04-04,86.3370
1973-04-11,85.7620
1973-04-18,85.0970
1973-04-25,84.9980
1973-05-02,84.8200
1973-05-09,84.1850
1973-05-16,82.5800
1973-05-23,82.3260
1973-05-30,83.0130
1973-06-06,83.5000
1973-06-13,83.3140
1973-06-20,82.9690
1973-06-27,82.8950
1973-07-04,83.0120
1973-07-11,82.8240
1973-07-18,82.2760
1973-07-25,81.8890
1973-08-01,81.1970
1973-08-08,81.0280
1973-08-15,82.1640
1973-08-22,81.2290
1973-08-29,80.7590
1973-09-05,82.9180
1973-09-12,83.0530
1973-09-19,81.9670
1973-09-26,81.8100
1973-10-03,82.2590
1973-10-10,83.4670
1973-10-17,83.1960
1973-10-24,83.9710
1973-10-31,84.1860
1973-11-07,86.8890
1973-11-14,87.0650
1973-11-21,88.4600
1973-11-28,87.6200
1973-12-05,90.6740
1973-12-12,90.5740
1973-12-19,89.5510
1973-12-26,89.8650
1974-01-02,89.8250
1974-01-09,90.6340
1974-01-16,91.0310
1974-01-23,91.4380
1974-01-30,90.8170
1974-02-06,90.5340
1974-02-13,90.2360
1974-02-20,90.0830
1974-02-27,90.0110
1974-03-06,92.3130
1974-03-13,91.5000
1974-03-20,90.3300
1974-03-27,90.4290
1974-04-03,91.8730
1974-04-10,92.9940
1974-04-17,91.8740
1974-04-24,89.4240
1974-05-01,88.7760
1974-05-08,88.8030
1974-05-15,87.5120
1974-05-22,87.1580
1974-05-29,86.6800
1974-06-05,88.2240
1974-06-12,87.3940
1974-06-19,87.0030
1974-06-26,85.5410
1974-07-03,85.0640
1974-07-10,84.2730
1974-07-17,83.7740
1974-07-24,83.2980
1974-07-31,84.6970
1974-08-07,85.8630
1974-08-14,85.5390
1974-08-21,84.1450
1974-08-28,84.3720
1974-09-04,84.4440
1974-09-11,85.2840
1974-09-18,83.8710
1974-09-25,82.4300
1974-10-02,81.5260
1974-10-09,81.9270
1974-10-16,82.6110
1974-10-23,82.3570
1974-10-30,82.6870
1974-11-06,84.8580
1974-11-13,85.3260
1974-11-20,86.0310
1974-11-27,84.9820
1974-12-04,86.6650
1974-12-11,87.8470
1974-12-18,88.6500
1974-12-25,88.4330
1975-01-01,88.7050
1975-01-08,89.7400
1975-01-15,88.9570
1975-01-22,87.5630
1975-01-29,86.2210
1975-02-05,86.5050
1975-02-12,86.4970
1975-02-19,88.1190
1975-02-26,86.9440
1975-03-05,90.5890
1975-03-12,91.2250
1975-03-19,92.1220
1975-03-26,93.3880
1975-04-02,95.0410
1975-04-09,97.8780
1975-04-16,98.1760
1975-04-23,96.6790
1975-04-30,98.1480
1975-05-07,99.0680
1975-05-14,99.0770
1975-05-21,98.7730
1975-05-28,99.6330
1975-06-04,100.1810
1975-06-11,103.1010
1975-06-18,103.7590
1975-06-25,101.9300
1975-07-02,102.9890
1975-07-09,103.7650
1975-07-16,103.5440
1975-07-23,103.6010
1975-07-30,103.8830
1975-08-06,104.8840
1975-08-13,105.9830
1975-08-20,106.1620
1975-08-27,106.7780
1975-09-03,108.8420
1975-09-10,110.6140
1975-09-17,110.7250
1975-09-24,110.5870
1975-10-01,111.0850
1975-10-08,111.4330
1975-10-15,110.1220
1975-10-22,111.2480
1975-10-29,110.1360
1975-11-05,113.5270
1975-11-12,112.9930
1975-11-19,113.6700
1975-11-26,114.4630
1975-12-03,114.9150
1975-12-10,117.0540
1975-12-17,119.1210
1975-12-24,117.6940
1975-12-31,120.0610
1976-01-07,119.0780
1976-01-14,120.2930
1976-01-21,118.6120
1976-01-28,119.7430
1976-02-04,120.1770
1976-02-11,120.0090
1976-02-18,121.4360
1976-02-25,120.2140
1976-03-03,121.5180
1976-03-10,121.7940
1976-03-17,124.8740
1976-03-24,124.7290
1976-03-31,125.1820
1976-04-07,129.1080
1976-04-14,129.5250
1976-04-21,129.0940
1976-04-28,125.9150
1976-05-05,126.5500
1976-05-12,126.6560
1976-05-19,127.1500
1976-05-26,125.7330
1976-06-02,127.6030
1976-06-09,126.9720
1976-06-16,126.8990
1976-06-23,125.0690
1976-06-30,126.1640
1976-07-07,124.0460
1976-07-14,124.8140
1976-07-21,124.0470
1976-07-28,123.6310
1976-08-04,126.1550
1976-08-11,125.4350
1976-08-18,126.8610
1976-08-25,126.5150
1976-09-01,126.3120
1976-09-08,125.6170
1976-09-15,127.3980
1976-09-22,127.7920
1976-09-29,127.5850
1976-10-06,127.7990
1976-10-13,128.9380
1976-10-20,128.0280
1976-10-27,128.5010
1976-11-03,128.6790
1976-11-10,129.3270
1976-11-17,133.3370
1976-11-24,133.1830
1976-12-01,133.7150
1976-12-08,135.5010
1976-12-15,138.1160
