DATE,TOTALSL
1943-01-01,6.5778
1943-02-01,6.4630
1943-03-01,6.2342
1943-04-01,6.1258
1943-05-01,5.9363
1943-06-01,5.8222
1943-07-01,5.7184
1943-08-01,5.6388
1943-09-01,5.6476
1943-10-01,5.6507
1943-11-01,5.5769
1943-12-01,5.4625
1944-01-01,5.3986
1944-02-01,5.3544
1944-03-01,5.3704
1944-04-01,5.3792
1944-05-01,5.4305
1944-06-01,5.4678
1944-07-01,5.4982
1944-08-01,5.5340
1944-09-01,5.5492
1944-10-01,5.5659
1944-11-01,5.5701
1944-12-01,5.5857
1945-01-01,5.6027
1945-02-01,5.5738
1945-03-01,5.6677
1945-04-01,5.5825
1945-05-01,5.6053
1945-06-01,5.7045
1945-07-01,5.7488
1945-08-01,5.7670
1945-09-01,5.7583
1945-10-01,5.9320
1945-11-01,6.0956
1945-12-01,6.5671
1946-01-01,6.5045
1946-02-01,6.7660
1946-03-01,7.0055
1946-04-01,7.3332
1946-05-01,7.5324
1946-06-01,7.7022
1946-07-01,7.9336
1946-08-01,8.3452
1946-09-01,8.5996
1946-10-01,8.8951
1946-11-01,9.2183
1946-12-01,9.4444
1947-01-01,9.7702
1947-02-01,10.0890
1947-03-01,10.3459
1947-04-01,10.6459
1947-05-01,10.9263
1947-06-01,11.1357
1947-07-01,11.3641
1947-08-01,11.5829
1947-09-01,11.8603
1947-10-01,12.2051
1947-11-01,12.5349
1947-12-01,12.8556
1948-01-01,13.2286
1948-02-01,13.5243
1948-03-01,13.9212
1948-04-01,14.2641
1948-05-01,14.5003
1948-06-01,14.7753
1948-07-01,15.0416
1948-08-01,15.2297
1948-09-01,15.5151
1948-10-01,15.5796
1948-11-01,15.6034
1948-12-01,15.8032
1949-01-01,15.9017
1949-02-01,16.0093
1949-03-01,16.0930
1949-04-01,16.4132
1949-05-01,16.6381
1949-06-01,16.8609
1949-07-01,17.0611
1949-08-01,17.3555
1949-09-01,17.6952
1949-10-01,18.0213
1949-11-01,18.4360
1949-12-01,18.7722
1950-01-01,19.0509
1950-02-01,19.3716
1950-03-01,19.7348
1950-04-01,20.1484
1950-05-01,20.6217
1950-06-01,21.1188
1950-07-01,22.0863
1950-08-01,22.7283
1950-09-01,23.1716
1950-10-01,23.2422
1950-11-01,23.2586
1950-12-01,23.2292
1951-01-01,23.7976
1951-02-01,24.1094
1951-03-01,24.2810
1951-04-01,24.0762
1951-05-01,23.9949
1951-06-01,23.8410
1951-07-01,23.7066
1951-08-01,23.9401
1951-09-01,24.0983
1951-10-01,24.2880
1951-11-01,24.6397
