DATE,NASDAQCOM
2013-07-22,3600.39
2013-07-23,3579.27
2013-07-24,3579.60
2013-07-25,3605.19
2013-07-26,3613.16
2013-07-29,3599.14
2013-07-30,3616.47
2013-07-31,3626.37
2013-08-01,3675.74
2013-08-02,3689.59
2013-08-05,3692.95
2013-08-06,3665.77
2013-08-07,3654.01
2013-08-08,3669.12
2013-08-09,3660.11
2013-08-12,3669.95
2013-08-13,3684.44
2013-08-14,3669.27
2013-08-15,3606.12
2013-08-16,3602.78
2013-08-19,3589.09
2013-08-20,3613.59
2013-08-21,3599.79
2013-08-22,3638.71
2013-08-23,3657.79
2013-08-26,3657.57
2013-08-27,3578.52
2013-08-28,3593.35
2013-08-29,3620.30
2013-08-30,3589.87
2013-09-02,.
2013-09-03,3612.61
2013-09-04,3649.04
2013-09-05,3658.78
2013-09-06,3660.01
2013-09-09,3706.18
2013-09-10,3729.02
2013-09-11,3725.01
2013-09-12,3715.97
2013-09-13,3722.18
2013-09-16,3717.85
2013-09-17,3745.70
2013-09-18,3783.64
2013-09-19,3789.38
2013-09-20,3774.73
2013-09-23,3765.29
2013-09-24,3768.25
2013-09-25,3761.10
2013-09-26,3787.43
2013-09-27,3781.59
2013-09-30,3771.48
2013-10-01,3817.98
2013-10-02,3815.02
2013-10-03,3774.34
2013-10-04,3807.75
2013-10-07,3770.38
2013-10-08,3694.83
2013-10-09,3677.78
2013-10-10,3760.75
2013-10-11,3791.87
2013-10-14,3815.27
2013-10-15,3794.01
2013-10-16,3839.43
2013-10-17,3863.15
2013-10-18,3914.28
2013-10-21,3920.05
2013-10-22,3929.57
2013-10-23,3907.07
2013-10-24,3928.96
2013-10-25,3943.36
2013-10-28,3940.13
2013-10-29,3952.34
2013-10-30,3930.62
2013-10-31,3919.71
2013-11-01,3922.04
2013-11-04,3936.59
2013-11-05,3939.86
2013-11-06,3931.95
2013-11-07,3857.33
2013-11-08,3919.23
2013-11-11,3919.79
2013-11-12,3919.92
2013-11-13,3965.58
2013-11-14,3972.74
2013-11-15,3985.97
2013-11-18,3949.07
2013-11-19,3931.55
2013-11-20,3921.27
2013-11-21,3969.15
2013-11-22,3991.65
2013-11-25,3994.57
2013-11-26,4017.75
2013-11-27,4044.75
2013-11-28,.
2013-11-29,4059.89
2013-12-02,4045.26
2013-12-03,4037.20
2013-12-04,4038.00
2013-12-05,4033.16
2013-12-06,4062.52
2013-12-09,4068.75
2013-12-10,4060.49
2013-12-11,4003.81
2013-12-12,3998.40
2013-12-13,4000.98
2013-12-16,4029.52
2013-12-17,4023.68
2013-12-18,4070.06
2013-12-19,4058.13
2013-12-20,4104.74
2013-12-23,4148.90
2013-12-24,4155.42
2013-12-25,.
2013-12-26,4167.18
2013-12-27,4156.59
2013-12-30,4154.20
