Date,Open,High,Low,Close,Adj Close,Volume
1977-02-14,7.700000,7.760000,7.670000,7.760000,7.760000,0
1977-02-21,7.770000,7.820000,7.770000,7.790000,7.790000,0
1977-02-28,7.800000,7.840000,7.790000,7.820000,7.820000,0
1977-03-07,7.840000,7.840000,7.800000,7.800000,7.800000,0
1977-03-14,7.800000,7.800000,7.760000,7.760000,7.760000,0
1977-03-21,7.740000,7.780000,7.740000,7.780000,7.780000,0
1977-03-28,7.800000,7.800000,7.780000,7.780000,7.780000,0
1977-04-04,7.780000,7.780000,7.780000,7.780000,7.780000,0
1977-04-11,7.760000,7.760000,7.630000,7.650000,7.650000,0
1977-04-18,7.640000,7.730000,7.640000,7.730000,7.730000,0
1977-04-25,7.760000,7.800000,7.740000,7.800000,7.800000,0
1977-05-02,7.800000,7.860000,7.780000,7.860000,7.860000,0
1977-05-09,7.860000,7.860000,7.800000,7.800000,7.800000,0
1977-05-16,7.790000,7.810000,7.770000,7.810000,7.810000,0
1977-05-23,7.800000,7.800000,7.740000,7.740000,7.740000,0
1977-05-30,7.740000,7.750000,7.720000,7.720000,7.720000,0
1977-06-06,7.720000,7.720000,7.660000,7.660000,7.660000,0
1977-06-13,7.620000,7.620000,7.590000,7.620000,7.620000,0
1977-06-20,7.630000,7.630000,7.590000,7.590000,7.590000,0
1977-06-27,7.580000,7.580000,7.560000,7.580000,7.580000,0
1977-07-04,7.630000,7.650000,7.620000,7.650000,7.650000,0
1977-07-11,7.650000,7.650000,7.620000,7.640000,7.640000,0
1977-07-18,7.640000,7.650000,7.640000,7.650000,7.650000,0
1977-07-25,7.640000,7.720000,7.640000,7.720000,7.720000,0
1977-08-01,7.700000,7.720000,7.700000,7.720000,7.720000,0
1977-08-08,7.710000,7.740000,7.710000,7.740000,7.740000,0
1977-08-15,7.740000,7.740000,7.680000,7.680000,7.680000,0
1977-08-22,7.670000,7.670000,7.580000,7.580000,7.580000,0
1977-08-29,7.580000,7.610000,7.580000,7.580000,7.580000,0
1977-09-05,7.570000,7.650000,7.570000,7.650000,7.650000,0
1977-09-12,7.660000,7.660000,7.630000,7.630000,7.630000,0
1977-09-19,7.630000,7.670000,7.630000,7.670000,7.670000,0
1977-09-26,7.700000,7.700000,7.680000,7.680000,7.680000,0
1977-10-03,7.700000,7.730000,7.690000,7.730000,7.730000,0
